MATHEMATICS,5, 500  , 40  
MATHEMATICS,5, 500  , 40  
MATHEMATICS,5, 500  , 40  
MATHEMATICS,5, 500  , 40  
MATHEMATICS,5, 500  , 40  
MATHEMATICS,6, 100  , 40  
MATHEMATICS,6, 100  , 40  
MATHEMATICS,6, 100  , 40  
MATHEMATICS,6, 100  , 40  
MATHEMATICS,6, 100  , 40  
MATHEMATICS,6, 100  , 40  
MATHEMATICS,6, 100  , 40  
MATHEMATICS,6, 100  , 40  
MATHEMATICS,6, 100  , 40  
MATHEMATICS,6, 100  , 40  
MATHEMATICS,6, 100  , 40  
MATHEMATICS,6, 100  , 40  
MATHEMATICS,6, 100  , 40  
MATHEMATICS,6, 103  , 40  
MATHEMATICS,6, 127  , 40  
MATHEMATICS,6, 146  , 40  
MATHEMATICS,6, 163  , 37  
MATHEMATICS,6, 177  , 34  
MATHEMATICS,6, 189  , 32  
MATHEMATICS,6, 200  , 30  
MATHEMATICS,6, 211  , 28  
MATHEMATICS,6, 220  , 26  
MATHEMATICS,6, 229  , 25  
MATHEMATICS,6, 237  , 24  
MATHEMATICS,6, 245  , 23  
MATHEMATICS,6, 252  , 22  
MATHEMATICS,6, 259  , 21  
MATHEMATICS,6, 265  , 21  
MATHEMATICS,6, 272  , 20  
MATHEMATICS,6, 278  , 19  
MATHEMATICS,6, 284  , 19  
MATHEMATICS,6, 290  , 19  
MATHEMATICS,6, 296  , 18  
MATHEMATICS,6, 302  , 18  
MATHEMATICS,6, 307  , 18  
MATHEMATICS,6, 313  , 18  
MATHEMATICS,6, 319  , 18  
MATHEMATICS,6, 324  , 18  
MATHEMATICS,6, 330  , 18  
MATHEMATICS,6, 336  , 18  
MATHEMATICS,6, 342  , 18  
MATHEMATICS,6, 348  , 18  
MATHEMATICS,6, 355  , 19  
MATHEMATICS,6, 362  , 19  
MATHEMATICS,6, 369  , 20  
MATHEMATICS,6, 376  , 20  
MATHEMATICS,6, 384  , 21  
MATHEMATICS,6, 392  , 22  
MATHEMATICS,6, 401  , 23  
MATHEMATICS,6, 411  , 24  
MATHEMATICS,6, 422  , 26  
MATHEMATICS,6, 434  , 27  
MATHEMATICS,6, 447  , 29  
MATHEMATICS,6, 463  , 32  
MATHEMATICS,6, 480  , 35  
MATHEMATICS,6, 500  , 39  
MATHEMATICS,6, 500  , 40  
MATHEMATICS,6, 500  , 40  
MATHEMATICS,6, 500  , 40  
MATHEMATICS,6, 500  , 40  
MATHEMATICS,6, 500  , 40  
MATHEMATICS,7, 100  , 40  
MATHEMATICS,7, 100  , 40  
MATHEMATICS,7, 100  , 40  
MATHEMATICS,7, 100  , 40  
MATHEMATICS,7, 100  , 40  
MATHEMATICS,7, 100  , 40  
MATHEMATICS,7, 100  , 40  
MATHEMATICS,7, 100  , 40  
MATHEMATICS,7, 100  , 40  
MATHEMATICS,7, 100  , 40  
MATHEMATICS,7, 100  , 40  
MATHEMATICS,7, 100  , 40  
MATHEMATICS,7, 112  , 40  
MATHEMATICS,7, 141  , 40  
MATHEMATICS,7, 162  , 37  
MATHEMATICS,7, 179  , 33  
MATHEMATICS,7, 193  , 30  
MATHEMATICS,7, 205  , 28  
MATHEMATICS,7, 215  , 25  
MATHEMATICS,7, 225  , 24  
MATHEMATICS,7, 234  , 23  
MATHEMATICS,7, 242  , 22  
MATHEMATICS,7, 250  , 21  
MATHEMATICS,7, 257  , 20  
MATHEMATICS,7, 264  , 20  
MATHEMATICS,7, 270  , 19  
MATHEMATICS,7, 277  , 19  
MATHEMATICS,7, 283  , 18  
MATHEMATICS,7, 289  , 18  
MATHEMATICS,7, 294  , 17  
MATHEMATICS,7, 300  , 17  
MATHEMATICS,7, 305  , 16  
MATHEMATICS,7, 311  , 16  
MATHEMATICS,7, 316  , 16  
MATHEMATICS,7, 321  , 16  
MATHEMATICS,7, 326  , 16  
MATHEMATICS,7, 331  , 15  
MATHEMATICS,7, 336  , 15  
MATHEMATICS,7, 341  , 15  
MATHEMATICS,7, 346  , 15  
MATHEMATICS,7, 351  , 15  
MATHEMATICS,7, 356  , 15  
MATHEMATICS,7, 361  , 15  
MATHEMATICS,7, 366  , 15  
MATHEMATICS,7, 372  , 15  
MATHEMATICS,7, 377  , 15  
MATHEMATICS,7, 383  , 15  
MATHEMATICS,7, 388  , 16  
MATHEMATICS,7, 395  , 16  
MATHEMATICS,7, 401  , 16  
MATHEMATICS,7, 407  , 16  
MATHEMATICS,7, 415  , 17  
MATHEMATICS,7, 422  , 18  
MATHEMATICS,7, 431  , 19  
MATHEMATICS,7, 441  , 20  
MATHEMATICS,7, 452  , 22  
MATHEMATICS,7, 466  , 26  
MATHEMATICS,7, 485  , 30  
MATHEMATICS,7, 500  , 39  
MATHEMATICS,7, 500  , 40  
MATHEMATICS,7, 500  , 40  
MATHEMATICS,8, 100  , 40  
MATHEMATICS,8, 100  , 40  
MATHEMATICS,8, 100  , 40  
MATHEMATICS,8, 100  , 40  
MATHEMATICS,8, 100  , 40  
MATHEMATICS,8, 100  , 40  
MATHEMATICS,8, 100  , 40  
MATHEMATICS,8, 100  , 40  
MATHEMATICS,8, 100  , 40  
MATHEMATICS,8, 100  , 40  
MATHEMATICS,8, 100  , 40  
MATHEMATICS,8, 100  , 40  
MATHEMATICS,8, 138  , 40  
MATHEMATICS,8, 163  , 39  
MATHEMATICS,8, 181  , 34  
MATHEMATICS,8, 195  , 30  
MATHEMATICS,8, 207  , 27  
MATHEMATICS,8, 217  , 25  
MATHEMATICS,8, 226  , 23  
MATHEMATICS,8, 234  , 21  
MATHEMATICS,8, 241  , 20  
MATHEMATICS,8, 248  , 18  
MATHEMATICS,8, 254  , 17  
MATHEMATICS,8, 259  , 17  
MATHEMATICS,8, 264  , 16  
MATHEMATICS,8, 269  , 15  
MATHEMATICS,8, 274  , 15  
MATHEMATICS,8, 278  , 14  
MATHEMATICS,8, 283  , 14  
MATHEMATICS,8, 287  , 13  
MATHEMATICS,8, 291  , 13  
MATHEMATICS,8, 295  , 13  
MATHEMATICS,8, 299  , 13  
MATHEMATICS,8, 303  , 12  
MATHEMATICS,8, 307  , 12  
MATHEMATICS,8, 311  , 12  
MATHEMATICS,8, 315  , 12  
MATHEMATICS,8, 318  , 12  
MATHEMATICS,8, 322  , 12  
MATHEMATICS,8, 326  , 12  
MATHEMATICS,8, 330  , 12  
MATHEMATICS,8, 334  , 12  
MATHEMATICS,8, 338  , 12  
MATHEMATICS,8, 342  , 12  
MATHEMATICS,8, 347  , 13  
MATHEMATICS,8, 351  , 13  
MATHEMATICS,8, 356  , 13  
MATHEMATICS,8, 361  , 14  
MATHEMATICS,8, 367  , 14  
MATHEMATICS,8, 373  , 15  
MATHEMATICS,8, 379  , 15  
MATHEMATICS,8, 386  , 16  
MATHEMATICS,8, 394  , 17  
MATHEMATICS,8, 404  , 19  
MATHEMATICS,8, 415  , 21  
MATHEMATICS,8, 429  , 25  
MATHEMATICS,8, 446  , 29  
MATHEMATICS,8, 470  , 35  
MATHEMATICS,8, 500  , 40  
MATHEMATICS,8, 500  , 40  
MATHEMATICS,8, 500  , 40  
MATHEMATICS,10, 100  , 40  
MATHEMATICS,10, 100  , 40  
MATHEMATICS,10, 100  , 40  
MATHEMATICS,10, 100  , 40  
MATHEMATICS,10, 100  , 40  
MATHEMATICS,10, 100  , 40  
MATHEMATICS,10, 100  , 40  
MATHEMATICS,10, 100  , 40  
MATHEMATICS,10, 100  , 40  
MATHEMATICS,10, 100  , 40  
MATHEMATICS,10, 100  , 40  
MATHEMATICS,10, 100  , 40  
MATHEMATICS,10, 100  , 40  
MATHEMATICS,10, 100  , 40  
MATHEMATICS,10, 105  , 40  
MATHEMATICS,10, 125  , 40  
MATHEMATICS,10, 141  , 37  
MATHEMATICS,10, 156  , 34  
MATHEMATICS,10, 169  , 32  
MATHEMATICS,10, 180  , 30  
MATHEMATICS,10, 191  , 28  
MATHEMATICS,10, 200  , 27  
MATHEMATICS,10, 209  , 25  
MATHEMATICS,10, 217  , 24  
MATHEMATICS,10, 225  , 23  
MATHEMATICS,10, 232  , 22  
MATHEMATICS,10, 239  , 21  
MATHEMATICS,10, 246  , 21  
MATHEMATICS,10, 252  , 20  
MATHEMATICS,10, 258  , 19  
MATHEMATICS,10, 264  , 19  
MATHEMATICS,10, 270  , 18  
MATHEMATICS,10, 275  , 18  
MATHEMATICS,10, 281  , 18  
MATHEMATICS,10, 286  , 17  
MATHEMATICS,10, 291  , 17  
MATHEMATICS,10, 296  , 16  
MATHEMATICS,10, 301  , 16  
MATHEMATICS,10, 306  , 16  
MATHEMATICS,10, 311  , 15  
MATHEMATICS,10, 316  , 15  
MATHEMATICS,10, 321  , 15  
MATHEMATICS,10, 326  , 14  
MATHEMATICS,10, 331  , 14  
MATHEMATICS,10, 336  , 14  
MATHEMATICS,10, 341  , 14  
MATHEMATICS,10, 346  , 15  
MATHEMATICS,10, 352  , 15  
MATHEMATICS,10, 358  , 16  
MATHEMATICS,10, 364  , 16  
MATHEMATICS,10, 371  , 17  
MATHEMATICS,10, 379  , 19  
MATHEMATICS,10, 388  , 20  
MATHEMATICS,10, 397  , 22  
MATHEMATICS,10, 409  , 24  
MATHEMATICS,10, 423  , 27  
MATHEMATICS,10, 440  , 32  
MATHEMATICS,10, 463  , 40  
MATHEMATICS,10, 498  , 40  
