Grade	Subject	theta	RawScore	scaledscore	perflevel	LowScaledScore	HighScaledScore	GrowthTheta	Information	StandardErrorTheta	StandardErrorScaleScore
4	ela	-7.086395426	2	202	1	200	208.5195195	-7.965032618	0.385633153	1.610322342	7.733652453
4	ela	-6.872803151	3	202	1	200	208.5195195	-7.734610776	0.475565615	1.450089396	6.964125828
4	ela	-6.659210876	4	202	1	200	208.5195195	-7.504188933	0.57808885	1.31523302	6.316471432
4	ela	-6.4456186	5	202	1	200	208.5195195	-7.27376709	0.691287537	1.202736903	5.776203282
4	ela	-6.232026325	6	204	1	200.0728929	208.7374777	-7.043345248	0.812255658	1.109567244	5.328751403
4	ela	-6.01843405	7	204	1	200.0728929	208.7374777	-6.812923405	0.937828176	1.032614839	4.959183684
4	ela	-5.804841774	8	204	1	200.0728929	208.7374777	-6.582501562	1.065631553	0.968715981	4.652306265
4	ela	-5.591249499	9	204	1	200.0728929	208.7374777	-6.35207972	1.194967192	0.914791265	4.393330158
4	ela	-5.377657224	10	206	1	202.1016933	209.8708333	-6.121657877	1.327003906	0.868088293	4.169036833
4	ela	-5.164064948	11	206	1	202.1016933	209.8708333	-5.891236034	1.4641778	0.826424324	3.968943565
4	ela	-4.950472673	12	206	1	202.1016933	209.8708333	-5.660814192	1.609326174	0.78827538	3.785731382
4	ela	-4.736880398	13	206	1	202.1016933	209.8708333	-5.430392349	1.765349911	0.752635328	3.614568276
4	ela	-4.523288123	14	208	1	204.8595902	211.2772936	-5.199970506	1.935801959	0.71873623	3.451766186
4	ela	-4.309695847	15	208	1	204.8595902	211.2772936	-4.969548663	2.126055152	0.685824091	3.293704017
4	ela	-4.096103572	16	208	1	204.8595902	211.2772936	-4.739126821	2.344252102	0.653127309	3.136676105
4	ela	-3.850240139	17	208	1	204.8595902	211.2772936	-4.473891081	2.644479403	0.614935982	2.953260374
4	ela	-3.60492305	18	210	1	207.619596	212.6816449	-4.209244732	3.015742208	0.57584141	2.765506767
4	ela	-3.388585865	19	210	1	207.619596	212.6816449	-3.9758617	3.419604932	0.540769305	2.597071254
4	ela	-3.195674473	20	210	1	207.619596	212.6816449	-3.767750248	3.851687554	0.509535532	2.447069519
4	ela	-3.021709131	21	210	1	207.619596	212.6816449	-3.580077663	4.305741348	0.4819212	2.314450324
4	ela	-2.863145824	22	212	1	209.8611541	214.1544993	-3.409020684	4.774871388	0.457634925	2.197814293
4	ela	-2.717158699	23	212	1	209.8611541	214.1544993	-3.251530801	5.252372153	0.436337215	2.095530989
4	ela	-2.581511312	24	214	1	211.9951562	215.790004	-3.105195355	5.732097362	0.417679558	2.005926674
4	ela	-2.454424183	25	214	1	211.9951562	215.790004	-2.968094655	6.208691345	0.401328466	1.927399747
4	ela	-2.33445252	26	214	1	211.9951562	215.790004	-2.838670069	6.677703967	0.386978128	1.858481539
4	ela	-2.22042693	27	214	1	211.9951562	215.790004	-2.715660066	7.135403966	0.374361102	1.797887653
4	ela	-2.111397071	28	216	1	214.3271965	217.6860987	-2.598039422	7.578546842	0.363251177	1.74453169
4	ela	-2.006557502	29	216	1	214.3271965	217.6860987	-2.484939233	8.004246951	0.353459583	1.697507075
4	ela	-1.905231448	30	216	1	214.3271965	217.6860987	-2.375629399	8.409679263	0.344834162	1.656083066
4	ela	-1.806841157	31	216	1	214.3271965	217.6860987	-2.269486647	8.791922144	0.337254756	1.619682597
4	ela	-1.710882621	32	218	1	216.5397374	219.869296	-2.165967253	9.147879278	0.33062812	1.587857849
4	ela	-1.616913358	33	218	1	216.5397374	219.869296	-2.064593874	9.47424324	0.324883559	1.560269314
4	ela	-1.524526586	34	218	1	216.5397374	219.869296	-1.964927675	9.767584288	0.319967904	1.536661636
4	ela	-1.433353247	35	218	1	216.5397374	219.869296	-1.866570519	10.0243992	0.315842685	1.567625016
4	ela	-1.343048076	36	218	1	216.5397374	219.869296	-1.769149936	10.24126106	0.31248076	2.071482843
4	ela	-1.253281781	37	220	2	218.3386607	224.5351207	-1.672310689	10.41496793	0.309863935	2.580152474
4	ela	-1.163735519	38	220	2	218.3386607	224.5351207	-1.575708813	10.54269067	0.307981243	3.095422627
4	ela	-1.074095727	39	220	2	218.3386607	224.5351207	-1.479006036	10.6221116	0.306827704	3.619114992
4	ela	-0.98404935	40	222	2	219.210207	227.5164153	-1.381864638	10.65154227	0.306403522	4.153104155
4	ela	-0.893279525	41	224	2	219.6446441	229.0433215	-1.28394279	10.6300126	0.306713654	4.699338708
4	ela	-0.801461809	42	226	2	220.281149	230.6002657	-1.184890484	10.5573288	0.307767656	5.159558349
4	ela	-0.708257605	43	228	2	222.5874257	233.0107101	-1.084342445	10.43409612	0.309579777	5.189937591
4	ela	-0.613313593	44	228	2	222.5874257	233.0107101	-0.981917514	10.26171809	0.312169134	5.233346763
4	ela	-0.516256987	45	230	2	224.9318206	235.5122033	-0.87721353	10.04237297	0.315559912	5.290191319
4	ela	-0.416688018	46	232	2	226.5302649	237.2521988	-0.769799228	9.778963876	0.319781679	5.360966965
4	ela	-0.314175742	47	234	2	228.1635334	239.0560562	-0.659209707	9.475063696	0.324869493	5.446261411
4	ela	-0.208256232	48	236	2	229.8387303	240.7389671	-0.544944485	9.134867876	0.330863504	5.450118373
4	ela	-0.09841705	49	238	2	231.563691	242.2909201	-0.426450749	8.763107166	0.337808784	5.363614548
4	ela	0.01590148	50	240	3	234.2725426	244.7688508	-0.303124723	8.36502101	0.345753418	5.284343942
4	ela	0.135311707	51	240	3	234.2725426	244.7688508	-0.174305811	7.946325847	0.354745435	5.211964199
4	ela	0.260493532	52	242	3	237.1276626	247.4195613	-0.03926054	7.513159177	0.364828456	5.145949332
4	ela	0.392214042	53	244	3	239.14801	249.3189274	0.102838619	7.072010385	0.376035247	5.085458733
4	ela	0.531301251	54	246	3	241.0089963	251.3312363	0.25288492	6.629779386	0.38837428	5.161120005
4	ela	0.678684816	55	248	3	242.7889035	253.4685002	0.411881273	6.193516157	0.401819827	5.339798368
4	ela	0.835378092	56	250	3	244.6787878	255.7432213	0.580920876	5.770170039	0.416299313	5.532216786
4	ela	1.002468886	57	252	3	246.6946974	258.1682631	0.761177248	5.365993831	0.431692909	5.73678285
4	ela	1.181130202	58	254	3	248.8540703	260.7982019	0.953915818	4.985545837	0.44786141	5.972065764
4	ela	1.372609784	59	258	3	251.1747388	263.715973	1.160482643	4.630572331	0.464710691	6.27061713
4	ela	1.578245821	60	260	4	253.6738972	266.8421691	1.382321351	4.299246935	0.482285056	6.584135964
4	ela	1.799554657	61	264	4	256.3685008	270.2013954	1.621067766	3.986833034	0.500824973	6.916447292
4	ela	2.038335374	62	266	4	259.2781825	273.8233545	1.878662721	3.688966294	0.520652138	7.272585991
4	ela	2.296752566	63	270	4	262.562644	277.7385483	2.157441368	3.406860931	0.541779786	7.58795218
4	ela	2.577373328	64	274	4	266.1889601	280	2.460173071	3.149492361	0.563481576	7.891898818
4	ela	2.88336015	65	278	4	270.1761516	280	2.7902695	2.924223968	0.584782926	8.190237056
4	ela	3.219774602	66	280	4	270.5890007	280	3.153191042	2.713216179	0.6070966	8.502753507
4	ela	3.597987805	67	280	4	270.5890007	280	3.561204783	2.452160096	0.638595111	8.943909122
4	ela	4	68	280	4	270.5890007	280	3.994892708	2.090781673	0.691585147	9.686066489
4	ela	4	69	280	4	270.5890007	280	3.994892708	2.090781673	0.691585147	9.686066489
4	ela	4	70	280	4	270.5890007	280	3.994892708	2.090781673	0.691585147	9.686066489
4	ela	4	71	280	4	270.5890007	280	3.994892708	2.090781673	0.691585147	9.686066489
4	ela	4	72	280	4	270.5890007	280	3.994892708	2.090781673	0.691585147	9.686066489
5	ela	-6.195369729	0	200	1	200	209.4015944	-6.195369729	0.4060914	1.569235427	9.452012279
5	ela	-5.957640273	1	200	1	200	209.4015944	-5.957640273	0.499829789	1.414454339	8.519715752
5	ela	-5.719910816	2	202	1	200	209.3964451	-5.719910816	0.613787072	1.276412743	7.688246594
5	ela	-5.48218136	3	202	1	200	209.3964451	-5.48218136	0.751683853	1.153406487	6.947340144
5	ela	-5.244451903	4	204	1	200	209.8752385	-5.244451903	0.917918421	1.04375353	6.286864938
5	ela	-5.006722447	5	204	1	200	209.8752385	-5.006722447	1.117763747	0.945855928	5.697196032
5	ela	-4.76899299	6	204	1	200	209.8752385	-4.76899299	1.357482567	0.858287662	5.169744056
5	ela	-4.531263534	7	206	1	201.7495847	210.7223257	-4.531263534	1.644150489	0.779882575	4.697484871
5	ela	-4.293534077	8	206	1	201.7495847	210.7223257	-4.293534077	1.98494315	0.709783605	4.275256114
5	ela	-4.055804621	9	208	1	204.1985841	211.599169	-4.055804621	2.385729559	0.647424894	3.899649436
5	ela	-3.765329048	10	208	1	204.1985841	211.599169	-3.765329048	2.960084608	0.581229887	3.50093551
5	ela	-3.504903577	11	210	1	206.98365	212.9714066	-3.504903577	3.548142219	0.530883821	3.197684881
5	ela	-3.280568793	12	210	1	206.98365	212.9714066	-3.280568793	4.096759392	0.494060088	2.975883628
5	ela	-3.081587986	13	210	1	206.98365	212.9714066	-3.081587986	4.601057161	0.466198837	2.808066308
5	ela	-2.901157536	14	212	1	209.6464572	214.8982798	-2.901157536	5.059963337	0.444555835	2.677703511
5	ela	-2.734745421	15	212	1	209.6464572	214.8982798	-2.734745421	5.475390094	0.427358619	2.574119118
5	ela	-2.579181976	16	214	1	211.6979902	216.6083798	-2.579181976	5.85141392	0.41339916	2.490036785
5	ela	-2.432209751	17	214	1	211.6979902	216.6083798	-2.432209751	6.193198619	0.401830128	2.420352766
5	ela	-2.292146859	18	216	1	213.5082592	218.1803148	-2.292146859	6.50618684	0.392045736	2.361418208
5	ela	-2.157726939	19	216	1	213.5082592	218.1803148	-2.157726939	6.795301714	0.383615042	2.310637413
5	ela	-2.02796199	20	218	1	215.5543616	220.3985525	-2.02796199	7.064463342	0.376236055	2.26619139
5	ela	-1.902059001	21	218	1	215.5543616	220.3985525	-1.902059001	7.316264925	0.36970497	2.239442986
5	ela	-1.779356203	22	218	1	215.5543616	220.3985525	-1.779356203	7.551800821	0.363893867	2.760651983
5	ela	-1.659283658	23	220	2	217.4595154	224.5247281	-1.659283658	7.770577886	0.358734662	3.276373866
5	ela	-1.541324662	24	220	2	217.4595154	224.5247281	-1.541324662	7.970540287	0.354206168	3.788838875
5	ela	-1.42499546	25	222	2	218.5524809	227.1535056	-1.42499546	8.148193646	0.350323547	4.300512347
5	ela	-1.309824732	26	224	2	219.2654378	228.8936055	-1.309824732	8.298891496	0.347128248	4.814083881
5	ela	-1.195345954	27	226	2	219.9697355	230.6345399	-1.195345954	8.417272247	0.344678594	5.332402168
5	ela	-1.08107869	28	228	2	222.6190617	233.2689607	-1.08107869	8.49784772	0.343040604	5.330856311
5	ela	-0.966527068	29	228	2	222.6190617	233.2689607	-0.966527068	8.535637043	0.3422804	5.319042728
5	ela	-0.851172936	30	230	2	225.3048797	235.9484867	-0.851172936	8.526783217	0.342458058	5.321803538
5	ela	-0.734466829	31	232	2	227.1003831	237.7802127	-0.734466829	8.469041155	0.343623517	5.339914792
5	ela	-0.61583086	32	234	2	228.9099396	239.6578658	-0.61583086	8.362064935	0.345814526	5.373963111
5	ela	-0.494646328	33	236	2	230.7427639	241.463007	-0.494646328	8.207440649	0.349056817	5.360121564
5	ela	-0.370254036	34	238	2	232.6088508	243.3016054	-0.370254036	8.008468203	0.353366416	5.346377328
5	ela	-0.241931899	35	240	3	234.5192349	245.2117634	-0.241931899	7.769682235	0.358755338	5.346264274
5	ela	-0.108906055	36	242	3	236.4856956	247.2047625	-0.108906055	7.496260715	0.365239432	5.359533455
5	ela	0.029690213	37	244	3	238.5211767	249.2934672	0.029690213	7.193262356	0.372852492	5.386145251
5	ela	0.174837767	38	246	3	240.5881875	251.4928916	0.174837767	6.864930486	0.381664642	5.452352027
5	ela	0.32765406	39	248	3	242.6264224	253.8208364	0.32765406	6.514201385	0.391804491	5.597207015
5	ela	0.489479302	40	250	3	244.7713382	256.299499	0.489479302	6.142481468	0.40348563	5.764080435
5	ela	0.661946136	41	252	3	247.0417445	258.9567166	0.661946136	5.750132475	0.417024024	5.95748606
5	ela	0.847072298	42	256	3	249.4605709	261.3842493	0.847072298	5.337779237	0.432832333	5.961839168
5	ela	1.047405591	43	258	3	252.057624	263.7530033	1.047405591	4.908298243	0.45137191	5.847689618
5	ela	1.266161997	44	262	4	254.8731713	266.355	1.266161997	4.468937224	0.473040008	5.740914386
5	ela	1.507361274	45	264	4	257.9620653	269.2356924	1.507361274	4.031922551	0.498016704	5.636813554
5	ela	1.776033917	46	266	4	261.0582838	272.4489438	1.776033917	3.610923385	0.52624849	5.695329983
5	ela	2.07871361	47	270	4	263.990391	276.0683451	2.07871361	3.211658041	0.55800148	6.03897706
5	ela	2.425059053	48	274	4	267.3339535	280	2.425059053	2.820848626	0.595401753	6.443741921
5	ela	2.832348885	49	278	4	271.2030893	280	2.832348885	2.402335064	0.645183437	6.982504732
5	ela	3.340164333	50	280	4	270.7853734	280	3.340164333	1.883868277	0.728575786	7.88501933
5	ela	4	51	280	4	270.7853734	280	4	1.200030444	0.91285935	9.87943019
5	ela	4	52	280	4	270.7853734	280	4	1.200030444	0.91285935	9.87943019
6	ela	-6.735732543	0	200	1	200	210.4225674	-7.795515699	0.13669349	2.704743492	10
6	ela	-6.443925596	1	200	1	200	210.4225674	-7.454411665	0.181470282	2.347454822	10
6	ela	-6.152118648	2	202	1	200	212.064722	-7.113307632	0.242880366	2.029101611	10
6	ela	-5.860311701	3	202	1	200	212.064722	-6.772203598	0.327419131	1.747623897	9.90376995
6	ela	-5.568504754	4	204	1	200	211.703563	-6.431099564	0.443854287	1.500996884	8.506136741
6	ela	-5.276697806	5	204	1	200	211.703563	-6.08999553	0.603505462	1.287239618	7.294776106
6	ela	-4.984890859	6	206	1	200.8734662	211.3543988	-5.748891496	0.819843598	1.104420591	6.258742218
6	ela	-4.693083912	7	206	1	200.8734662	211.3543988	-5.407787462	1.106543166	0.950639422	5.387265621
6	ela	-4.401276965	8	206	1	200.8734662	211.3543988	-5.066683429	1.472959614	0.823957062	4.669357752
6	ela	-4.109470017	9	208	1	204.1981636	211.8593976	-4.725579395	1.917034274	0.72224586	4.092961227
6	ela	-3.759981072	10	208	1	204.1981636	211.8593976	-4.31704872	2.522255311	0.62965909	3.568272777
6	ela	-3.445763043	11	210	1	206.601506	212.8365943	-3.949747536	3.087502636	0.56911015	3.225142444
6	ela	-3.184461733	12	210	1	206.601506	212.8365943	-3.644302681	3.544767658	0.531136458	3.009945846
6	ela	-2.957168023	13	212	1	208.8397203	214.4360396	-3.378610578	3.931896204	0.504311623	2.857929735
6	ela	-2.753999231	14	212	1	208.8397203	214.4360396	-3.141118993	4.282670487	0.483217517	2.738389614
6	ela	-2.569164093	15	214	1	211.15457	216.3320557	-2.9250583	4.622972862	0.465092491	2.635675243
6	ela	-2.398951813	16	214	1	211.15457	216.3320557	-2.726090812	4.970714215	0.448529077	2.541810515
6	ela	-2.240755948	17	216	1	213.5763415	218.3146795	-2.54116976	5.337032464	0.432862614	2.453028799
6	ela	-2.09262437	18	216	1	213.5763415	218.3146795	-2.368013228	5.727421045	0.417850037	2.367952649
6	ela	-1.95299105	19	216	1	213.5763415	218.3146795	-2.204790629	6.142611363	0.403481364	2.286525504
6	ela	-1.820553361	20	218	1	216.0703571	221.3307633	-2.049979271	6.579071863	0.389868085	2.209379165
6	ela	-1.694200081	21	218	1	216.0703571	221.3307633	-1.902280204	7.029460207	0.377171624	2.530947442
6	ela	-1.572935273	22	218	1	216.0703571	221.3307633	-1.760529244	7.483468449	0.365551469	3.150282703
6	ela	-1.455885139	23	220	2	217.905264	226.0217172	-1.623704972	7.928877763	0.355135542	3.757629561
6	ela	-1.342257436	24	220	2	217.905264	226.0217172	-1.490881309	8.353194335	0.345998095	4.358823665
6	ela	-1.231341189	25	222	2	218.9261357	228.8430922	-1.361227167	8.74525443	0.338153413	4.958478246
6	ela	-1.122494194	26	224	2	219.5803406	230.7005433	-1.233991851	9.096578721	0.331559105	5.560101386
6	ela	-1.015135642	27	226	2	220.7036454	232.5520988	-1.108496432	9.402038267	0.32612868	5.924226704
6	ela	-0.908743059	28	228	2	222.7158272	234.4052243	-0.98413017	9.659644042	0.321750654	5.844698531
6	ela	-0.802844589	29	230	2	224.7019896	236.2664177	-0.860341495	9.869542587	0.318310883	5.782214041
6	ela	-0.697003554	30	232	2	226.6717788	238.1418977	-0.736619959	10.0325077	0.315715024	5.735059471
6	ela	-0.590806523	31	234	2	228.6337094	240.0251497	-0.612482284	10.1483596	0.313907778	5.69572016
6	ela	-0.483839916	32	236	2	230.5953712	241.2931775	-0.487445025	10.21482188	0.312884897	5.348903141
6	ela	-0.375672828	33	238	2	232.5636838	242.5855602	-0.361004477	10.2271421	0.312696381	5.010938208
6	ela	-0.26582792	34	240	3	234.5455192	243.909196	-0.232602665	10.17859186	0.313441249	4.681838435
6	ela	-0.153759378	35	242	3	237.5644112	245.9783393	-0.101601562	10.06164679	0.315257528	4.36199241
6	ela	-0.03882954	36	242	3	237.5644112	245.9783393	0.032744216	9.86948067	0.318311881	4.051935666
6	ela	0.079721652	37	244	3	240.4300242	248.1569693	0.17132313	9.597352172	0.322793131	3.863472542
6	ela	0.202803753	38	246	3	241.8299531	249.7033504	0.315198392	9.243634216	0.328911171	3.936698638
6	ela	0.331496108	39	248	3	244.0257141	252.2114419	0.465631691	8.810490456	0.336899183	4.032306197
6	ela	0.467118283	40	248	3	244.0257141	252.2114419	0.624165513	8.304147524	0.347018375	4.153421607
6	ela	0.611252811	41	250	3	246.3518887	254.958771	0.792649744	7.735267766	0.359552509	4.303441165
6	ela	0.765835579	42	252	3	248.0197219	256.9913034	0.973347311	7.119165169	0.374787817	4.485790752
6	ela	0.933182943	43	254	3	249.8052877	259.2116588	1.168965893	6.476238963	0.392951153	4.703185554
6	ela	1.116073771	44	256	3	251.7411447	261.7185934	1.382753809	5.831592373	0.414101135	4.988724345
6	ela	1.317755861	45	260	4	253.8691488	264.5241834	1.618507533	5.212842749	0.43798848	5.327517282
6	ela	1.542031197	46	262	4	256.241049	267.6383427	1.880671345	4.642935701	0.464091555	5.698646851
6	ela	1.793678462	47	264	4	258.9149007	271.119614	2.174831227	4.125460119	0.492338506	6.102356649
6	ela	2.080195585	48	268	4	262.0273255	275.0919676	2.509751788	3.625374358	0.525198613	6.532321059
6	ela	2.417239947	49	272	4	265.6403496	279.8631316	2.903735524	3.058995135	0.571755837	7.111391005
6	ela	2.845331146	50	278	4	269.8901531	280	3.404147308	2.308518107	0.658162839	8.186104957
6	ela	3.508285532	51	280	4	270	280	4.179099438	1.261952891	0.890181222	10
6	ela	4	52	280	4	270	280	4.753882835	0.732357342	1.168526269	10
7	ela	-6.297971484	0	200	1	200	209.6008337	-6.92364469	0.390034359	1.601211006	9.855477172
7	ela	-6.11366572	1	200	1	200	209.6008337	-6.715390504	0.496574204	1.419083408	8.73447914
7	ela	-5.929359957	2	202	1	200	208.7612207	-6.507136319	0.631503944	1.258380461	7.745350148
7	ela	-5.745054194	3	202	1	200	208.7612207	-6.298882133	0.799172766	1.118612485	6.885076211
7	ela	-5.56074843	4	202	1	200	208.7612207	-6.090627948	1.002336985	0.998833551	6.147835124
7	ela	-5.376442667	5	204	1	200.168683	208.8072199	-5.882373762	1.241051558	0.897645975	5.525024112
7	ela	-5.192136904	6	204	1	200.168683	208.8072199	-5.674119576	1.512138708	0.81321276	5.005336439
7	ela	-5.007831141	7	204	1	200.168683	208.8072199	-5.465865391	1.80993266	0.743307974	4.575071453
7	ela	-4.823525377	8	204	1	200.168683	208.8072199	-5.257611205	2.128373863	0.685450411	4.218957312
7	ela	-4.639219614	9	206	1	202.4373788	209.7968446	-5.049357019	2.463420666	0.637133895	3.921568445
7	ela	-4.454913851	10	206	1	202.4373788	209.7968446	-4.841102834	2.814494766	0.596073449	3.668840799
7	ela	-4.270608088	11	206	1	202.4373788	209.7968446	-4.632848648	3.185112592	0.560321911	3.44878956
7	ela	-4.086302324	12	208	1	204.9120446	210.9924458	-4.424594463	3.584065613	0.528216574	3.251180742
7	ela	-3.872630723	13	208	1	204.9120446	210.9924458	-4.183158685	4.10303632	0.49368203	3.038620119
7	ela	-3.655122539	14	208	1	204.9120446	210.9924458	-3.937387804	4.727586769	0.459917829	2.830800968
7	ela	-3.461423104	15	210	1	207.2861708	212.2885866	-3.718519346	5.394145027	0.430564967	2.650133673
7	ela	-3.287335625	16	210	1	207.2861708	212.2885866	-3.521811195	6.092839359	0.405126019	2.493556573
7	ela	-3.129542776	17	210	1	207.2861708	212.2885866	-3.343514973	6.802344781	0.383416395	2.359933522
7	ela	-2.985285944	18	212	1	209.6778452	213.9955854	-3.180513618	7.499977308	0.365148924	2.24749697
