Grade	Subject	theta	RawScore	scaledscore	perflevel	LowScaledScore	HighScaledScore	GrowthTheta	Information	StandardErrorTheta	StandardErrorScaleScore
6	mat	-12.77461002	0	200	1	200	210.391443	-15.32574563	0.00017523	4.472135955	10
6	mat	-11.58288972	1	200	1	200	210.391443	-13.90596026	0.000502452	4.472135955	10
6	mat	-10.39116942	2	202	1	200	211.9572151	-12.48617489	0.001439666	4.472135955	10
6	mat	-9.199449126	3	202	1	200	211.9572151	-11.06638952	0.004113454	4.472135955	10
6	mat	-8.007728829	4	204	1	200	213.9144303	-9.646604157	0.011650529	4.472135955	10
6	mat	-6.816008532	5	204	1	200	213.9144303	-8.22681879	0.0322226	4.472135955	10
6	mat	-5.624288235	6	204	1	200	213.9144303	-6.807033423	0.084794974	3.434115868	10
6	mat	-4.432567938	7	206	1	200.4136473	213.5895423	-5.387248056	0.221257773	2.125938668	10
6	mat	-3.155422513	8	206	1	200.4136473	213.5895423	-3.865689356	1.006447384	0.996791813	5.43579384
6	mat	-2.579778903	9	208	1	205.2482089	212.177586	-3.179882143	2.477357187	0.63533925	3.46468855
6	mat	-2.252692502	10	210	1	207.781829	213.2113593	-2.790199692	4.035083168	0.497821621	2.714765176
6	mat	-2.019732412	11	212	1	210.0652974	214.4751834	-2.512656944	5.503202451	0.426277348	2.324613577
6	mat	-1.835165794	12	212	1	210.0652974	214.4751834	-2.292768951	6.838981195	0.382388036	2.085272472
6	mat	-1.679774632	13	214	1	212.1287632	215.8539372	-2.107639858	8.047619017	0.352505823	1.922316133
6	mat	-1.543904574	14	214	1	212.1287632	215.8539372	-1.945767714	9.149431071	0.330600081	1.802857787
6	mat	-1.421988036	15	216	1	214.2862208	217.5039068	-1.800519439	10.16799635	0.313604517	1.710176066
6	mat	-1.310596582	16	216	1	214.2862208	217.5039068	-1.667810483	11.12373985	0.299829657	1.635057775
6	mat	-1.207453762	17	216	1	214.2862208	217.5039068	-1.544928741	12.03239942	0.288286218	1.572108062
6	mat	-1.110941752	18	216	1	214.2862208	217.5039068	-1.429946777	12.90494829	0.278369639	1.518030091
6	mat	-1.019895321	19	218	1	216.7275403	219.7723325	-1.321476367	13.74759929	0.269703491	1.470771082
6	mat	-0.93342501	20	218	1	216.7275403	219.7723325	-1.218457829	14.5627982	0.26204603	1.429012735
6	mat	-0.850804527	21	218	1	216.7275403	219.7723325	-1.120025879	15.35028731	0.255235892	1.391875084
6	mat	-0.771472307	22	218	1	216.7275403	219.7723325	-1.025511482	16.10737857	0.249165304	1.358770414
6	mat	-0.694941877	23	218	1	216.7275403	219.7723325	-0.934335066	16.83019406	0.243756069	1.961551007
6	mat	-0.620792687	24	220	2	218.5051648	225.2730375	-0.8459956	17.51412649	0.238949298	2.680800108
6	mat	-0.548674699	25	220	2	218.5051648	225.2730375	-0.760076056	18.15409666	0.234699778	3.387242442
6	mat	-0.478262476	26	220	2	218.5051648	225.2730375	-0.676188718	18.74516906	0.230969864	4.083766608
6	mat	-0.409265163	27	222	2	219.3074654	228.8534665	-0.593987067	19.28253819	0.22772877	4.773000556
6	mat	-0.341419644	28	224	2	219.6925916	230.6073287	-0.513157635	19.76159791	0.22495154	5.457368551
6	mat	-0.274476111	29	226	2	220.3478593	232.3488463	-0.433402806	20.17800549	0.22261831	6.000493539
6	mat	-0.208196797	30	228	2	222.185681	234.0840334	-0.35443931	20.52761613	0.220714437	5.949176196
6	mat	-0.142356649	31	230	2	224.0003443	235.8187043	-0.275999027	20.80643845	0.219230577	5.909179975
6	mat	-0.076730648	32	232	2	225.7980324	237.558806	-0.197813872	21.01069362	0.218162351	5.88038682
6	mat	-0.011094824	33	234	2	227.5847666	239.3103912	-0.119617014	21.13684688	0.217510336	5.862812293
6	mat	0.054781307	34	236	2	229.3666175	240.9104797	-0.041133861	21.1817238	0.217279798	5.771931093
6	mat	0.121134041	35	238	2	232.0451043	243.1927354	0.037917106	21.14264898	0.217480489	5.636683028
6	mat	0.188219685	36	238	2	232.0451043	243.1927354	0.117841242	21.01760041	0.218126502	5.510948136
6	mat	0.256311605	37	240	3	234.7459629	245.5351816	0.198964231	20.80533641	0.219236383	5.394609347
