Grade,Subject,theta,StandardErrorTheta,se,CAP,RawScore,scaledscore,perflevel,GrowthTheta,Information,GrowthThetaSe
03,mat,-8.9970323350171,4.47213595499958,1.04838,1,0,200,1,-8.35431665236182,.0269091943015542,4.2785369972058
03,mat,-8.40097757641806,4.47213595499958,1.04838,1,1,202,1,-7.78406512989289,.0378863236470817,4.2785369972058
03,mat,-7.80492281781903,4.33071091035596,1.04838,1,2,202,1,-7.21381360742396,.0533189528873437,4.14323424882609
03,mat,-7.20886805921999,3.6496283430887,1.04838,1,3,204,1,-6.64356208495503,.0750762753785789,3.49163577518237
03,mat,-6.61281330062095,3.0706599202864,1.04838,1,4,204,1,-6.0733105624861,.106056321349272,2.93773092029883
03,mat,-6.01675854202192,2.57166917341638,1.04838,1,5,206,1,-5.50305904001717,.151206270610228,2.46034150431741
03,mat,-5.42070378342288,2.13279849249771,1.04838,1,6,206,1,-4.93280751754824,.219836777762968,2.04046955404715
03,mat,-4.82464902482385,1.73983381668487,1.04838,1,7,208,1,-4.36255599507931,.33035772317128,1.66451633594773
03,mat,-4.22859426622481,1.38889049453781,1.04838,1,8,208,1,-3.79230447261038,.518398801391583,1.32876536530697
03,mat,-3.54989103245311,1.04837663790139,1.04837663790139,0,9,210,1,-3.1429823310129,.909840638540114,1.00299236816644
03,mat,-3.02659902554724,.83509018890816,.83509018890816,0,10,210,1,-2.64234365758754,1.43394745405997,.798939098721448
03,mat,-2.64445189671097,.706130779884636,.706130779884636,0,11,212,1,-2.27673969439092,2.00553254912819,.675562348059807
03,mat,-2.34349038428302,.618620434446839,.618620434446839,0,12,214,1,-1.98880681877732,2.61307260389721,.591840329238957
03,mat,-2.09444150609822,.554287437433776,.554287437433776,0,13,214,1,-1.75053927723824,3.25484212866256,.530292310432908
03,mat,-1.88098547295435,.504455841198876,.504455841198876,0,14,216,1,-1.54632376494778,3.92964835864568,.482617926141775
03,mat,-1.69314560031219,.464655082331753,.464655082331753,0,15,216,1,-1.36661548846942,4.63168074507276,.444540143837443
03,mat,-1.52432800057449,.432369065168915,.432369065168915,0,16,218,1,-1.20510600988352,5.34922385139395,.413651789745883
03,mat,-1.36993212208469,.406041124197913,.406041124197913,0,17,218,1,-1.05739393561256,6.06540712295733,.388463586471617
03,mat,-1.22660459094051,.384612895325119,.384612895325119,0,18,218,1,-.9202710594547,6.76008750438092,.36796298654814
03,mat,-1.09174722970437,.367300986922372,.367300986922372,0,19,220,2,-.79125167918534,7.41234814956752,.35140051140456
03,mat,-.963319377178918,.353506186636045,.353506186636045,0,20,222,2,-.66838347391811,8.00213663514152,.338202888615805
03,mat,-.839625263138011,.342756954071414,.342756954071414,0,21,224,2,-.55004408339288,8.51191837707449,.327918990791113
03,mat,-.719229084188279,.334685382293967,.334685382293967,0,22,226,2,-.434859860206918,8.9274311787005,.32019683770299
03,mat,-.600849561709337,.329008737433347,.329008737433347,0,23,228,2,-.321604992346409,9.23815270571686,.314765935042482
03,mat,-.483309089930402,.325520830882602,.325520830882602,0,24,232,2,-.209152852645024,9.43718414209844,.311429020116299
03,mat,-.365474962120116,.324086815774719,.324086815774719,0,25,234,2,-.0964197692945123,9.52088396843669,.310057083584099
03,mat,-.246209393027118,.324643105236688,.324643105236688,0,26,236,2,.0176827881840302,9.48828306262971,.310589291251339
03,mat,-.12431350885854,.32720217985417,.32720217985417,0,27,240,3,.134301794285428,9.3404462013128,.31303758341859
03,mat,.001530771267604,.331862385667574,.331862385667574,0,28,242,3,.254698270113606,9.07996006061125,.317496048721943
03,mat,.132846277805667,.338822867985175,.338822867985175,0,29,244,3,.38032912272707,8.71073038232907,.324155211460713
03,mat,.271441025846675,.348400938070801,.348400938070801,0,30,246,3,.512924098165809,8.23837143490737,.333318646480476
03,mat,.419561134850963,.361053482552483,.361053482552483,0,31,250,3,.654632081282136,7.67108726608476,.345423461767486
03,mat,.58006831532414,.37739962883611,.37739962883611,0,32,252,3,.80819089901082,7.0209691147836,.361061982675611
03,mat,.756723728594311,.398256415035841,.398256415035841,0,33,256,3,.977198891844343,6.30484537241293,.381015877703913
03,mat,.954612471121429,.424725073161143,.424725073161143,0,34,258,3,1.16652102219825,5.54350189525328,.406338706480819
03,mat,1.18100512550338,.458486534465841,.458486534465841,0,35,262,4,1.38311312883712,4.75714982559238,.438638632673894
03,mat,1.44719233475384,.502764512546094,.502764512546094,0,36,264,4,1.63777708235307,3.95613195488433,.4809998151791
03,mat,1.7733106702897,.565420156930573,.565420156930573,0,37,268,4,1.9497777411205,3.12793288805821,.540943094023982
03,mat,2.20445821182598,.670088828827647,.670088828827647,0,38,272,4,2.36226088704433,2.22707705957624,.641080654613879
03,mat,2.88923126312357,.919142815795298,.919142815795298,0,39,278,4,3.01739008350601,1.18367917235327,.879353083776379
03,mat,3.99999999999992,1.67604260421932,1.67604260421932,0,40,280,4,4.08007359399992,.355983519112057,1.60348664781283
04,mat,-9.06040307700762,4.47213595499958,.95299,1,0,200,1,-6.25684428469944,.0105553435292982,3.02245274204802
04,mat,-8.46984468029281,4.47213595499958,.95299,1,1,200,1,-5.85772071970704,.0153848281139879,3.02245274204802
04,mat,-7.87928628357801,4.47213595499958,.95299,1,2,202,1,-5.45859715471463,.0226321340446579,3.02245274204802
04,mat,-7.2887278868632,4.47213595499958,.95299,1,3,202,1,-5.05947358972223,.0337287093505311,3.02245274204802
