Grade,Subject,theta,RawScore,scaledscore,perflevel,LowScaledScore,HighScaledScore,GrowthTheta,Information,StandardErrorTheta,StandardErrorScaleScore,GrowthThetaLow,GrowthThetaHigh,GrowthThetaSe,scaleScoreUnrounded,scaleScoreUnroundedConstrained
03,mat,-8.9970323350171,0,200,1,200,210,-8.35431665236182,0.0269091943015542,4.47213595499958,10,-12.6328536495676,-4.07577965515602,4.2785369972058,200,200
03,mat,-8.40097757641806,1,202,1,200,211.528760812307,-7.78406512989289,0.0378863236470817,4.47213595499958,10,-12.0626021270987,-3.50552813268709,4.2785369972058,201.019173874871,201.019173874871
03,mat,-7.80492281781903,2,202,1,200,211.528760812307,-7.21381360742396,0.0533189528873437,4.33071091035596,10,-11.35704785625,-3.07057935859787,4.14323424882609,202.038347749742,202.038347749742
03,mat,-7.20886805921999,3,204,1,200,213.567108562049,-6.64356208495503,0.0750762753785789,3.6496283430887,10,-10.1351978601374,-3.15192630977266,3.49163577518237,203.057521624614,203.057521624614
03,mat,-6.61281330062095,4,204,1,200,213.567108562049,-6.0733105624861,0.106056321349272,3.0706599202864,10,-9.01104148278493,-3.13557964218727,2.93773092029883,204.076695499485,204.076695499485
03,mat,-6.01675854202192,5,206,1,200,215.605456311792,-5.50305904001717,0.151206270610228,2.57166917341638,10,-7.96340054433458,-3.04271753569976,2.46034150431741,205.095869374356,205.095869374356
03,mat,-5.42070378342288,6,206,1,200,215.605456311792,-4.93280751754824,0.219836777762968,2.13279849249771,10,-6.97327707159539,-2.89233796350109,2.04046955404715,206.115043249227,206.115043249227
03,mat,-4.82464902482385,7,208,1,200.673991572461,215.309003400317,-4.36255599507931,0.33035772317128,1.73983381668487,8.52499082351788,-6.02707233102704,-2.69803965913158,1.66451633594773,207.134217124099,207.134217124099
03,mat,-4.22859426622481,8,208,1,200.673991572461,215.309003400317,-3.79230447261038,0.518398801391583,1.38889049453781,6.80540785404828,-5.12106983791736,-2.46353910730341,1.32876536530697,208.15339099897,208.15339099897
03,mat,-3.54989103245311,9,210,1,205.067763568856,214.296540053697,-3.1429823310129,0.909840638540114,1.04837663790139,5.13692809737968,-4.14597469917934,-2.13998996284646,1.00299236816644,209.172564873841,209.172564873841
03,mat,-3.02659902554724,10,210,1,205.067763568856,214.296540053697,-2.64234365758754,1.43394745405997,0.83509018890816,4.09184838746087,-3.44128275630899,-1.8434045588661,0.798939098721448,210.191738748712,210.191738748712
03,mat,-2.64445189671097,11,212,1,208.5363069406,215.456230396497,-2.27673969439092,2.00553254912819,0.706130779884636,3.4599617279484,-2.95230204245073,-1.60117734633111,0.675562348059807,211.996268668549,211.996268668549
03,mat,-2.34349038428302,12,214,1,211.207543574864,216.954660770038,-1.98880681877732,2.61307260389721,0.618620434446839,3.03117083730943,-2.58064714801628,-1.39696648953837,0.591840329238957,213.470946368842,213.470946368842
03,mat,-2.09444150609822,13,214,1,211.207543574864,216.954660770038,-1.75053927723824,3.25484212866256,0.554287437433776,2.71594635786417,-2.28083158767115,-1.22024696680533,0.530292310432908,214.691257976061,214.691257976061
03,mat,-1.88098547295435,14,216,1,213.823098309608,218.571633285099,-1.54632376494778,3.92964835864568,0.504455841198876,2.47177711793455,-2.02894169108956,-1.06370583880601,0.482617926141775,215.737168629323,215.737168629323
03,mat,-1.69314560031219,15,216,1,213.823098309608,218.571633285099,-1.36661548846942,4.63168074507276,0.464655082331753,2.27675785755612,-1.81115563230686,-0.922075344631973,0.444540143837443,216.657562965384,216.657562965384
03,mat,-1.52432800057449,16,218,1,216.225636210062,221.427058020569,-1.20510600988352,5.34922385139395,0.432369065168915,2.11855998980482,-1.6187577996294,-0.791454220137636,0.413651789745883,217.484750294893,217.484750294893
03,mat,-1.36993212208469,17,218,1,216.225636210062,221.427058020569,-1.05739393561256,6.06540712295733,0.406041124197913,2.3839792963942,-1.44585752208418,-0.668930349140944,0.388463586471617,218.241272805659,218.241272805659
03,mat,-1.22660459094051,18,218,1,216.225636210062,221.427058020569,-0.9202710594547,6.76008750438092,0.384612895325119,3.29959342956158,-1.28823404600284,-0.55230807290656,0.36796298654814,218.943561654194,218.943561654194
03,mat,-1.09174722970437,19,220,2,217.804613924269,226.202462277446,-0.79125167918534,7.41234814956752,0.367300986922372,4.19892417658862,-1.1426521905899,-0.439851167780781,0.35140051140456,219.60434761892,219.60434761892
03,mat,-0.963319377178918,20,222,2,218.501488992732,228.683697174397,-0.66838347391811,8.00213663514152,0.353506186636045,5.09110409083245,-1.00658636253391,-0.330180585302305,0.338202888615805,221.03204811301,221.03204811301
03,mat,-0.839625263138011,21,224,2,219.160246332142,231.128391578645,-0.55004408339288,8.51191837707449,0.342756954071414,5.98407262325154,-0.877963074183993,-0.222125092601767,0.327918990791113,223.709409888788,223.709409888788
03,mat,-0.719229084188279,22,226,2,219.789723921073,233.559660132158,-0.434859860206918,8.9274311787005,0.334685382293967,6.88496810554244,-0.755056697909908,-0.114663022503928,0.32019683770299,226.315387788132,226.315387788132
03,mat,-0.600849561709337,23,228,2,221.75631387137,235.999116357663,-0.321604992346409,9.23815270571686,0.329008737433347,7.12140124314604,-0.636370927388891,-0.00683905730392664,0.314765935042482,228.877715114517,228.877715114517
03,mat,-0.483309089930402,24,232,2,224.375975739978,238.467786600697,-0.209152852645024,9.43718414209844,0.325520830882602,7.04590543035935,-0.520581872761323,0.102276167471275,0.311429020116299,231.421881170338,231.421881170338
