Grade	Subject	theta	RawScore	scaledscore	perflevel	LowScaledScore	HighScaledScore	GrowthTheta	Information	StandardErrorTheta	StandardErrorScaleScore
5	mat	-8.036897494	0	200	1	200	210.397224	-8.036897494	0.026645362	4.472135955	10
5	mat	-7.415726607	1	200	1	200	210.397224	-7.415726607	0.039944997	4.472135955	10
5	mat	-6.794555719	2	202	1	200	211.9861198	-6.794555719	0.061589954	4.029443396	10
5	mat	-6.173384832	3	202	1	200	211.9861198	-6.173384832	0.098330839	3.189004463	10
5	mat	-5.552213944	4	204	1	200	213.3722713	-5.552213944	0.163688309	2.471673884	10
5	mat	-4.931043057	5	204	1	200	213.3722713	-4.931043057	0.285578351	1.871273895	10
5	mat	-4.30987217	6	204	1	200	213.3722713	-4.30987217	0.523123381	1.3826044	8.20009522
5	mat	-3.572587302	7	206	1	201.1451424	210.7715761	-3.572587302	1.146867969	0.933777249	5.538144068
5	mat	-3.043681912	8	206	1	201.1451424	210.7715761	-3.043681912	2.104546881	0.689319712	4.088289662
5	mat	-2.699550568	9	208	1	204.8825029	211.5652739	-2.699550568	3.150567178	0.563385451	3.341385539
5	mat	-2.442889637	10	210	1	207.6264507	213.0896179	-2.442889637	4.22702692	0.486387599	2.884718595
5	mat	-2.236541924	11	210	1	207.6264507	213.0896179	-2.236541924	5.290844066	0.434747926	2.578448609
5	mat	-2.062500506	12	212	1	210.1726329	214.7318879	-2.062500506	6.312988399	0.39799948	2.360497068
5	mat	-1.910723102	13	212	1	210.1726329	214.7318879	-1.910723102	7.275906264	0.370728908	2.198757902
5	mat	-1.775087435	14	214	1	212.0468773	216.0992878	-1.775087435	8.170647319	0.349841855	2.074878777
5	mat	-1.651567931	15	214	1	212.0468773	216.0992878	-1.651567931	8.994871827	0.33342834	1.977531779
5	mat	-1.537440848	16	216	1	214.218044	217.8446824	-1.537440848	9.750460832	0.320248739	1.89936482
5	mat	-1.430746412	17	216	1	214.218044	217.8446824	-1.430746412	10.44248015	0.309455475	1.835350996
5	mat	-1.330064701	18	216	1	214.218044	217.8446824	-1.330064701	11.07769358	0.300452157	1.781953172
5	mat	-1.234328995	19	216	1	214.218044	217.8446824	-1.234328995	11.66375753	0.29280653	1.736607688
5	mat	-1.142701926	20	218	1	216.575425	220.3655749	-1.142701926	12.20853866	0.286199031	1.697419236
5	mat	-1.054547838	21	218	1	216.575425	220.3655749	-1.054547838	12.7191854	0.280395056	1.662996411
5	mat	-0.969343977	22	218	1	216.575425	220.3655749	-0.969343977	13.2017999	0.275222178	1.798235229
5	mat	-0.886678353	23	218	1	216.575425	220.3655749	-0.886678353	13.66077952	0.270559171	2.421648872
5	mat	-0.806186904	24	220	2	218.1182877	224.7855419	-0.806186904	14.09868474	0.266324242	3.033027153
5	mat	-0.727564521	25	220	2	218.1182877	224.7855419	-0.727564521	14.51589037	0.262469087	3.634227046
5	mat	-0.650538061	26	222	2	218.8404537	227.2948655	-0.650538061	14.91067634	0.258971116	4.227205921
5	mat	-0.574861122	27	224	2	219.5373225	229.7479903	-0.574861122	15.27943522	0.255826983	4.813972631
5	mat	-0.500288989	28	224	2	219.5373225	229.7479903	-0.500288989	15.61718875	0.253045472	5.396695187
5	mat	-0.426599726	29	226	2	220.8316168	232.1729205	-0.426599726	15.91803646	0.250642811	5.670651831
5	mat	-0.3535617	30	228	2	222.5294436	233.7799818	-0.3535617	16.17591495	0.248636894	5.625269105
5	mat	-0.280948283	31	230	2	224.2083033	235.3867971	-0.280948283	16.3850915	0.247044713	5.589246907
5	mat	-0.208528113	32	232	2	225.8731064	236.9989247	-0.208528113	16.54061005	0.245880585	5.562909173
5	mat	-0.136060555	33	234	2	228.3552472	239.442875	-0.136060555	16.63847132	0.24515643	5.546525569
5	mat	-0.0632954	34	234	2	228.3552472	239.442875	-0.0632954	16.67554468	0.244883761	5.54110225
5	mat	0.010031976	35	236	2	230.8360872	241.9364937	0.010031976	16.64926899	0.245076921	5.550203224
5	mat	0.084214012	36	238	2	232.4990203	243.6398481	0.084214012	16.55720777	0.245757313	5.5704139
5	mat	0.159558291	37	240	3	234.176483	245.3814797	0.159558291	16.39663418	0.246957742	5.602498356
5	mat	0.236428572	38	242	3	235.8755989	247.1707776	0.236428572	16.16418381	0.248727102	5.647589348
5	mat	0.315222996	39	244	3	237.6038318	249.0183533	0.315222996	15.85587644	0.25113363	5.707260719
5	mat	0.396415813	40	246	3	239.3698475	250.9370732	0.396415813	15.46730641	0.254268555	5.783612883
5	mat	0.480565903	41	248	3	241.1903761	252.9423157	0.480565903	14.99419424	0.258248872	5.875969791
5	mat	0.568363302	42	250	3	243.0748804	255.0531424	0.568363302	14.43293361	0.263222308	5.989131015
5	mat	0.660634708	43	252	3	245.0344077	257.2925415	0.660634708	13.78140554	0.269372492	6.129066935
5	mat	0.758439629	44	254	3	247.0877291	259.6899559	0.758439629	13.03910098	0.276933934	6.30111341
5	mat	0.863121652	45	256	3	249.2584372	261.0285494	0.863121652	12.20731807	0.286213339	5.885056104
5	mat	0.976452083	46	258	3	251.577232	262.307379	0.976452083	11.28856165	0.297632735	5.365073469
5	mat	1.100842745	47	260	4	254.0849653	263.7278449	1.100842745	10.28546759	0.311808522	4.821439799
5	mat	1.239743065	48	262	4	256.8380424	265.3352554	1.239743065	9.198835687	0.329711101	4.248606501
5	mat	1.39835253	49	264	4	259.9168759	267.1999832	1.39835253	8.024837216	0.353005835	3.641553681
5	mat	1.585207885	50	266	4	261.5511486	269.4423498	1.585207885	6.750239946	0.384893339	3.9456006
5	mat	1.816231697	51	268	4	263.4311133	272.2989061	1.816231697	5.345328104	0.432526595	4.433896409
5	mat	2.127711654	52	272	4	265.76951	276.346567	2.127711654	3.757298958	0.515895956	5.288528514
