Grade	Subject	theta	RawScore	scaledscore	perflevel	LowScaledScore	HighScaledScore	GrowthTheta	Information	StandardErrorTheta	StandardErrorScaleScore
8	mat	-12.98154114	0	200	1	200	210.4085214	-15.9240141	3.28E-05	4.472135955	10
8	mat	-11.59801352	1	200	1	200	210.4085214	-14.26227712	0.000112502	4.472135955	10
8	mat	-10.21448591	2	202	1	200	212.0426068	-12.60054014	0.000404694	4.472135955	10
8	mat	-8.830958288	3	202	1	200	212.0426068	-10.93880316	0.001550547	4.472135955	10
8	mat	-7.447430669	4	204	1	200	214.0852136	-9.277066188	0.006434765	4.472135955	10
8	mat	-6.063903051	5	204	1	200	214.0852136	-7.615329211	0.029755088	4.472135955	10
8	mat	-4.680375432	6	204	1	200	214.0852136	-5.953592233	0.15891723	2.508502318	10
8	mat	-3.193049217	7	206	1	200.6763931	210.7622049	-4.167184116	1.087655542	0.958858034	5.042905911
8	mat	-2.530951071	8	208	1	205.0921847	211.6307427	-3.371946668	2.587909881	0.621620639	3.26927896
8	mat	-2.164886802	9	210	1	207.6828502	212.8905485	-2.93227165	4.07963657	0.495095823	2.603849122
8	mat	-1.906773123	10	212	1	210.030459	214.3249993	-2.622254676	5.447323836	0.428458145	2.253382705
8	mat	-1.703879729	11	212	1	210.030459	214.3249993	-2.378562067	6.638959527	0.388105672	2.041157623
8	mat	-1.5341071	12	214	1	212.1438715	215.8414539	-2.174650376	7.661748774	0.36127345	1.900039371
8	mat	-1.386362914	13	214	1	212.1438715	215.8414539	-1.997196762	8.560409268	0.341784793	1.797543006
8	mat	-1.254461071	14	216	1	214.3547761	217.5873696	-1.838771178	9.392997841	0.326285586	1.716028287
8	mat	-1.134672242	15	216	1	214.3547761	217.5873696	-1.694894378	10.21248065	0.31292076	1.645738885
8	mat	-1.02458586	16	216	1	214.3547761	217.5873696	-1.56267106	11.05649057	0.300740107	1.58167738
8	mat	-0.922521363	17	216	1	214.3547761	217.5873696	-1.440082725	11.94457712	0.289344086	1.521742481
8	mat	-0.827227136	18	218	1	216.6121913	219.3939333	-1.325626072	12.88026152	0.278636278	1.465427082
8	mat	-0.737700088	19	218	1	216.6121913	219.3939333	-1.218096302	13.85549889	0.268651281	1.412913159
8	mat	-0.653112585	20	218	1	216.6121913	219.3939333	-1.116499356	14.85506224	0.259455429	1.364549567
8	mat	-0.572750976	21	218	1	216.6121913	219.3939333	-1.019978075	15.86040515	0.251097773	1.320594291
8	mat	-0.496001592	22	220	2	218.3991488	224.4690357	-0.927795391	16.85213524	0.243597335	1.999900571
8	mat	-0.422318826	23	220	2	218.3991488	224.4690357	-0.839295982	17.81185638	0.236943832	2.699368658
8	mat	-0.351226991	24	220	2	218.3991488	224.4690357	-0.753908506	18.72292057	0.231107055	3.383691613
8	mat	-0.282303216	25	220	2	218.3991488	224.4690357	-0.671125059	19.57096711	0.226044454	4.056812968
8	mat	-0.215162233	26	222	2	219.3748304	228.8191647	-0.5904829	20.34413605	0.221707495	4.722167135
8	mat	-0.14945516	27	224	2	219.7396539	230.5052143	-0.511562992	21.03292032	0.218047048	5.382780237
8	mat	-0.084875954	28	226	2	220.4920384	232.1777467	-0.43399775	21.62988787	0.215017034	5.842854174
8	mat	-0.021124399	29	228	2	222.2907884	233.8437552	-0.357426588	22.1297905	0.212574589	5.776483405
8	mat	0.042066729	30	230	2	224.0593518	235.5094921	-0.281528549	22.52904272	0.210682581	5.725070144
8	mat	0.104958199	31	232	2	225.8056864	237.1811723	-0.205990424	22.82571767	0.209308941	5.68774295
8	mat	0.167799054	32	234	2	228.3993107	239.6693289	-0.130513093	23.01928876	0.208427035	5.663778113
8	mat	0.23083263	33	234	2	228.3993107	239.6693289	-0.054804287	23.11048684	0.208015383	5.606240123
8	mat	0.294303898	34	236	2	230.9849573	241.9173038	0.021430225	23.10113839	0.208057468	5.466173219
8	mat	0.358454823	35	238	2	232.7150301	243.3862849	0.098481064	22.99397837	0.208541715	5.335627424
8	mat	0.423543316	36	240	3	234.4587344	244.8864819	0.176658004	22.79239519	0.209461889	5.213873763
8	mat	0.489828409	37	242	3	236.2231128	246.4237788	0.256272165	22.50013953	0.210817857	5.100332973
8	mat	0.557606037	38	244	3	238.9305303	248.8214321	0.33767899	22.12075967	0.212617977	4.994555664
8	mat	0.62718049	39	244	3	238.9305303	248.8214321	0.421243958	21.65717774	0.214881521	4.896346152
8	mat	0.698902792	40	246	3	241.4376957	251.3306131	0.507388679	21.11085742	0.217644183	4.946458699
8	mat	0.773187942	41	248	3	243.0505064	253.0944	0.596611604	20.48096588	0.220965659	5.021946786
8	mat	0.850507589	42	250	3	244.7174761	254.9419597	0.689479224	19.76386482	0.224938639	5.11224179
8	mat	0.931473334	43	252	3	246.4492643	256.8904326	0.786726124	18.95206107	0.229705702	5.220584143
8	mat	1.016838676	44	254	3	248.2582004	258.9617394	0.889257323	18.03432314	0.235477858	5.351769498
8	mat	1.107598165	45	256	3	250.1597997	260.6129864	0.998267362	16.99560584	0.242566976	5.226593322
8	mat	1.205122416	46	258	3	252.174642	261.8632266	1.115402467	15.81749092	0.251438168	4.844292298
8	mat	1.311328983	47	260	4	254.3302649	263.2447275	1.242965789	14.4796515	0.262797328	4.457231315
8	mat	1.429093116	48	262	4	256.6664399	264.8044991	1.384410754	12.96074829	0.277769759	4.069029594
8	mat	1.562918773	49	264	4	260.1768334	267.7171786	1.545147005	11.24072986	0.29826531	3.687892572
8	mat	1.720435998	50	264	4	260.1768334	267.7171786	1.734338889	9.303926159	0.327843723	3.852452676
8	mat	1.916295894	51	268	4	262.8689224	271.662121	1.969583656	7.14343515	0.374150601	4.396599303
8	mat	2.184023366	52	270	4	265.034593	275.7885178	2.291147631	4.776028175	0.457579501	5.376962404
8	mat	2.634212559	53	276	4	267.915889	280	2.831863999	2.27790673	0.662570402	7.785786154
8	mat	4	54	280	4	270	280	4.47229348	0.233333312	2.070196773	10
