Grade	Subject	theta	RawScore	scaledscore	perflevel	LowScaledScore	HighScaledScore	GrowthTheta	Information	StandardErrorTheta	StandardErrorScaleScore
4	mat	-8.337833191	0	200	1	200	210.4181469	-5.768501946	0.00603907	4.472135955	10
4	mat	-7.750904085	1	200	1	200	210.4181469	-5.371831204	0.010454751	4.472135955	10
4	mat	-7.163974978	2	202	1	200	212.0907346	-4.975160462	0.018646301	4.472135955	10
4	mat	-6.577045872	3	202	1	200	212.0907346	-4.57848972	0.034401318	4.472135955	10
4	mat	-5.990116765	4	204	1	200	213.7633223	-4.181818978	0.065922043	3.894795611	10
4	mat	-5.403187659	5	204	1	200	213.7633223	-3.785148236	0.131632402	2.75624994	10
4	mat	-4.816258552	6	206	1	200.6679121	213.2647702	-3.388477494	0.273860465	1.910888422	10
4	mat	-4.229329446	7	206	1	200.6679121	213.2647702	-2.991806752	0.588617087	1.303417559	7.545525316
4	mat	-3.503025519	8	206	1	200.6679121	213.2647702	-2.500940795	1.525785019	0.809567988	4.686614587
4	mat	-3.034028413	9	208	1	204.0042447	211.0490445	-2.183973332	2.701061679	0.608461003	3.522399919
4	mat	-2.723003841	10	210	1	207.0732945	212.7306203	-1.973770181	3.763611694	0.515463117	2.984032223
4	mat	-2.483677333	11	210	1	207.0732945	212.7306203	-1.812023519	4.689413157	0.461785988	2.673293635
4	mat	-2.28503495	12	212	1	209.8454833	214.6422049	-1.677772857	5.491125138	0.426745873	2.470445302
4	mat	-2.112569021	13	212	1	209.8454833	214.6422049	-1.561213315	6.192831417	0.401842041	2.326276237
4	mat	-1.95839392	14	214	1	211.8688768	216.2164188	-1.457015463	6.817743242	0.382983161	2.217101585
4	mat	-1.817757675	15	214	1	211.8688768	216.2164188	-1.361967726	7.383683148	0.368013266	2.130440391
4	mat	-1.687561511	16	216	1	213.893696	217.8984153	-1.273975823	7.902752525	0.355722068	2.059286261
4	mat	-1.565668423	17	216	1	213.893696	217.8984153	-1.191595479	8.382670425	0.34538924	1.999469194
4	mat	-1.450521842	18	216	1	213.893696	217.8984153	-1.113774701	8.828556227	0.33655431	1.948323503
4	mat	-1.340969518	19	218	1	216.2482987	220.3570074	-1.039734751	9.244233733	0.328900506	1.904015389
4	mat	-1.23610958	20	218	1	216.2482987	220.3570074	-0.968866108	9.633274407	0.322190725	1.865172259
4	mat	-1.13522852	21	218	1	216.2482987	220.3570074	-0.900686553	9.999389158	0.316237425	2.020780486
4	mat	-1.037758611	22	218	1	216.2482987	220.3570074	-0.834812395	10.34649285	0.310887613	2.42744928
4	mat	-0.943238621	23	220	2	218.0200049	224.0597566	-0.770931912	10.67858261	0.306015338	2.82513688
4	mat	-0.851278578	24	220	2	218.0200049	224.0597566	-0.708781547	10.99951302	0.301518019	3.214614786
4	mat	-0.761555924	25	222	2	219.1084663	226.6767729	-0.6481433	11.31264908	0.297315699	3.596572659
4	mat	-0.673787072	26	222	2	219.1084663	226.6767729	-0.588825513	11.62064431	0.293349192	3.97173392
4	mat	-0.587718209	27	224	2	219.8940777	228.5758508	-0.530656648	11.92521779	0.289578851	4.340886526
4	mat	-0.503122931	28	226	2	221.7320755	230.4253328	-0.473483693	12.22698017	0.285983117	4.372830542
4	mat	-0.41978257	29	226	2	221.7320755	230.4253328	-0.417158862	12.52538835	0.282555913	4.320426803
4	mat	-0.337492804	30	228	2	223.703398	232.2448343	-0.361544066	12.81866145	0.279304968	4.270718171
4	mat	-0.256041775	31	230	2	225.6351293	234.0397994	-0.306496123	13.10383866	0.276249011	4.223990989
4	mat	-0.175217886	32	230	2	225.6351293	234.0397994	-0.251872027	13.37675661	0.273416417	4.180679156
4	mat	-0.094799827	33	232	2	228.1745446	236.4225247	-0.197522207	13.63210235	0.270843602	4.14133948
