CountryCode,RegionCode,TestCode,Subject,Grade,ProficiencyLevel,ProficiencyName,Linked,ProficiencyFlag,MinSS,MaxSS,MinRasch,MaxRasch
US,AL,AL,READING,5,2,Level 2,1,-1,915,1034,-0.9955,1.7764
US,AL,AL,READING,5,3,Level 3,1,0,1034,1118,1.7764,3.7331
US,AL,AL,READING,5,4,Level 4,1,1,1118,1355,3.7331,999.9999
US,AL,AL,READING,6,1,Level 1,1,-1,610,953,-999.9999,-0.1104
US,AL,AL,READING,6,2,Level 2,1,-1,953,1058,-0.1104,2.3355
US,AL,AL,READING,6,3,Level 3,1,0,1058,1143,2.3355,4.3154
US,AL,AL,READING,6,4,Level 4,1,1,1143,1393,4.3154,999.9999
US,AL,AL,READING,7,1,Level 1,1,-1,610,954,-999.9999,-0.0871
US,AL,AL,READING,7,2,Level 2,1,-1,954,1068,-0.0871,2.5684
US,AL,AL,READING,7,3,Level 3,1,0,1068,1152,2.5684,4.5251
US,AL,AL,READING,7,4,Level 4,1,1,1152,1385,4.5251,999.9999
US,AL,AL,READING,8,1,Level 1,1,-1,610,968,-999.9999,0.239
US,AL,AL,READING,8,2,Level 2,1,-1,968,1077,0.239,2.7781
US,AL,AL,READING,8,3,Level 3,1,0,1077,1154,2.7781,4.5717
US,AL,AL,READING,8,4,Level 4,1,1,1154,1400,4.5717,999.9999
US,AL,AL,READING,9,1,Level 1,0,-1,610,969,-999.9999,0.2623
US,AL,AL,READING,9,2,Level 2,0,-1,969,1092,0.2623,3.1275
US,AL,AL,READING,9,3,Level 3,0,0,1092,1164,3.1275,4.8046
US,AL,AL,READING,9,4,Level 4,0,1,1164,1400,4.8046,999.9999
US,AR,AR,READING,1,1,Need Support,0,-1,610,835,-999.999,-2.857
US,AR,AR,READING,1,2,Close,0,-1,835,876,-2.857,-1.915
US,AR,AR,READING,1,3,Ready,0,0,876,918,-1.915,-0.9135
US,AR,AR,READING,1,4,Exceeding,0,1,918,1256,-0.9135,999.999
US,AR,AR,READING,10,1,Need Support,1,-1,610,1113,-999.999,3.621
US,AR,AR,READING,10,2,Close,1,-1,1113,1152,3.621,4.5245
US,AR,AR,READING,10,3,Ready,1,0,1152,1211,4.5245,5.92
US,AR,AR,READING,10,4,Exceeding,1,1,1211,1400,5.92,999.999
US,AR,AR,READING,11,1,Need Support,0,-1,615,1119,-999.999,3.762
US,AR,AR,READING,11,2,Close,0,-1,1119,1158,3.762,4.66
US,AR,AR,READING,11,3,Ready,0,0,1158,1215,4.66,5.994
US,AR,AR,READING,11,4,Exceeding,0,1,1215,1400,5.994,999.999
US,AR,AR,READING,12,1,Need Support,0,-1,615,1128,-999.999,3.975
US,AR,AR,READING,12,2,Close,0,-1,1128,1169,3.975,4.9095
US,AR,AR,READING,12,3,Ready,0,0,1169,1218,4.9095,6.0675
US,AR,AR,READING,12,4,Exceeding,0,1,1218,1400,6.0675,999.999
US,AR,AR,READING,2,1,Need Support,0,-1,610,920,-999.999,-0.876
US,AR,AR,READING,2,2,Close,0,-1,920,962,-0.876,0.0895
US,AR,AR,READING,2,3,Ready,0,0,962,999,0.0895,0.9655
US,AR,AR,READING,2,4,Exceeding,0,1,999,1341,0.9655,999.999
US,AR,AR,READING,3,1,Need Support,1,-1,610,969,-999.999,0.2575
US,AR,AR,READING,3,2,Close,1,-1,969,1008,0.2575,1.1785
US,AR,AR,READING,3,3,Ready,1,0,1008,1045,1.1785,2.0455
US,AR,AR,READING,3,4,Exceeding,1,1,1045,1339,2.0455,999.999
US,AR,AR,READING,4,1,Need Support,1,-1,610,982,-999.999,0.5745
US,AR,AR,READING,4,2,Close,1,-1,982,1035,0.5745,1.808
US,AR,AR,READING,4,3,Ready,1,0,1035,1074,1.808,2.723
US,AR,AR,READING,4,4,Exceeding,1,1,1074,1346,2.723,999.999
US,AR,AR,READING,5,1,Need Support,1,-1,610,1020,-999.999,1.457
US,AR,AR,READING,5,2,Close,1,-1,1020,1068,1.457,2.5785
US,AR,AR,READING,5,3,Ready,1,0,1068,1106,2.5785,3.457
US,AR,AR,READING,5,4,Exceeding,1,1,1106,1355,3.457,999.999
US,AR,AR,READING,6,1,Need Support,1,-1,610,1028,-999.999,1.639
US,AR,AR,READING,6,2,Close,1,-1,1028,1074,1.639,2.7285
US,AR,AR,READING,6,3,Ready,1,0,1074,1119,2.7285,3.758
US,AR,AR,READING,6,4,Exceeding,1,1,1119,1393,3.758,999.999
US,AR,AR,READING,7,1,Need Support,1,-1,610,1049,-999.999,2.1175
US,AR,AR,READING,7,2,Close,1,-1,1049,1104,2.1175,3.397
US,AR,AR,READING,7,3,Ready,1,0,1104,1164,3.397,4.8015
US,AR,AR,READING,7,4,Exceeding,1,1,1164,1385,4.8015,999.999
US,AR,AR,READING,8,1,Need Support,1,-1,610,1054,-999.999,2.2415
US,AR,AR,READING,8,2,Close,1,-1,1054,1104,2.2415,3.4025
US,AR,AR,READING,8,3,Ready,1,0,1104,1165,3.4025,4.8415
US,AR,AR,READING,8,4,Exceeding,1,1,1165,1400,4.8415,999.999
US,AR,AR,READING,9,1,Need Support,1,-1,610,1080,-999.999,2.8565
US,AR,AR,READING,9,2,Close,1,-1,1080,1127,2.8565,3.941
US,AR,AR,READING,9,3,Ready,1,0,1127,1166,3.941,4.8485
US,AR,AR,READING,9,4,Exceeding,1,1,1166,1400,4.8485,999.999
US,AZ,AZ,READING,1,1,Minimally Proficient,0,-1,610,819,-999.999,-3.231
US,AZ,AZ,READING,1,2,Partially Proficient,0,-1,819,839,-3.231,-2.769
US,AZ,AZ,READING,1,3,Proficient,0,0,839,902,-2.769,-1.307
US,AZ,AZ,READING,1,4,Highly Proficient,0,1,902,1256,-1.307,999.999
US,AZ,AZ,READING,10,1,Minimally Proficient,0,-1,610,1106,-999.999,3.451
US,AZ,AZ,READING,10,2,Partially Proficient,0,-1,1106,1144,3.451,4.3375
US,AZ,AZ,READING,10,3,Proficient,0,0,1144,1186,4.3375,5.311
US,AZ,AZ,READING,10,4,Highly Proficient,0,1,1186,1400,5.311,999.999
US,AZ,AZ,READING,11,1,Minimally Proficient,0,-1,615,1112,-999.999,3.5895
US,AZ,AZ,READING,11,2,Partially Proficient,0,-1,1112,1151,3.5895,4.4985
US,AZ,AZ,READING,11,3,Proficient,0,0,1151,1193,4.4985,5.48
US,AZ,AZ,READING,11,4,Highly Proficient,0,1,1193,1400,5.48,999.999
US,AZ,AZ,READING,12,1,Minimally Proficient,0,-1,615,1120,-999.999,3.778
US,AZ,AZ,READING,12,2,Partially Proficient,0,-1,1120,1160,3.778,4.71
US,AZ,AZ,READING,12,3,Proficient,0,0,1160,1202,4.71,5.699
US,AZ,AZ,READING,12,4,Highly Proficient,0,1,1202,1400,5.699,999.999
US,AZ,AZ,READING,2,1,Minimally Proficient,0,-1,610,913,-999.999,-1.0495
US,AZ,AZ,READING,2,2,Partially Proficient,0,-1,913,934,-1.0495,-0.556
US,AZ,AZ,READING,2,3,Proficient,0,0,934,990,-0.556,0.75
US,AZ,AZ,READING,2,4,Highly Proficient,0,1,990,1341,0.75,999.999
US,AZ,AZ,READING,3,1,Minimally Proficient,1,-1,610,967,-999.999,0.218
US,AZ,AZ,READING,3,2,Partially Proficient,1,-1,967,987,0.218,0.673
US,AZ,AZ,READING,3,3,Proficient,1,0,987,1038,0.673,1.8735
US,AZ,AZ,READING,3,4,Highly Proficient,1,1,1038,1339,1.8735,999.999
US,AZ,AZ,READING,4,1,Minimally Proficient,1,-1,610,990,-999.999,0.76
US,AZ,AZ,READING,4,2,Partially Proficient,1,-1,990,1014,0.76,1.3285
US,AZ,AZ,READING,4,3,Proficient,1,0,1014,1074,1.3285,2.7285
US,AZ,AZ,READING,4,4,Highly Proficient,1,1,1074,1346,2.7285,999.999
US,AZ,AZ,READING,5,1,Minimally Proficient,1,-1,610,1004,-999.999,1.088
US,AZ,AZ,READING,5,2,Partially Proficient,1,-1,1004,1042,1.088,1.978
US,AZ,AZ,READING,5,3,Proficient,1,0,1042,1097,1.978,3.23
US,AZ,AZ,READING,5,4,Highly Proficient,1,1,1097,1355,3.23,999.999
US,AZ,AZ,READING,6,1,Minimally Proficient,1,-1,610,1039,-999.999,1.897
US,AZ,AZ,READING,6,2,Partially Proficient,1,-1,1039,1076,1.897,2.757
US,AZ,AZ,READING,6,3,Proficient,1,0,1076,1143,2.757,4.3145
US,AZ,AZ,READING,6,4,Highly Proficient,1,1,1143,1393,4.3145,999.999
US,AZ,AZ,READING,7,1,Minimally Proficient,1,-1,610,1053,-999.999,2.222
US,AZ,AZ,READING,7,2,Partially Proficient,1,-1,1053,1084,2.222,2.9435
US,AZ,AZ,READING,7,3,Proficient,1,0,1084,1151,2.9435,4.509
US,AZ,AZ,READING,7,4,Highly Proficient,1,1,1151,1385,4.509,999.999
US,AZ,AZ,READING,8,1,Minimally Proficient,1,-1,610,1082,-999.999,2.8895
US,AZ,AZ,READING,8,2,Partially Proficient,1,-1,1082,1122,2.8895,3.843
US,AZ,AZ,READING,8,3,Proficient,1,0,1122,1168,3.843,4.9145
US,AZ,AZ,READING,8,4,Highly Proficient,1,1,1168,1400,4.9145,999.999
US,AZ,AZ,READING,9,1,Minimally Proficient,0,-1,610,1098,-999.999,3.2655
US,AZ,AZ,READING,9,2,Partially Proficient,0,-1,1098,1136,3.2655,4.1515
US,AZ,AZ,READING,9,3,Proficient,0,0,1136,1177,4.1515,5.1275
US,AZ,AZ,READING,9,4,Highly Proficient,0,1,1177,1400,5.1275,999.999
US,CA,CA,READING,1,1,Level 1,0,-1,610,810,-999.999,-3.441416259
US,CA,CA,READING,1,2,Level 2,0,-1,810,858,-3.441416259,-2.323317028
US,CA,CA,READING,1,3,Level 3,0,0,858,901,-2.323317028,-1.321686466
US,CA,CA,READING,1,4,Level 4,0,1,901,1256,-1.321686466,999.999
US,CA,CA,READING,10,1,Level 1,0,-1,610,1047,-999.999,2.079198696
US,CA,CA,READING,10,2,Level 2,0,-1,1047,1104,2.079198696,3.406941533
US,CA,CA,READING,10,3,Level 3,0,0,1104,1167,3.406941533,4.874446774
US,CA,CA,READING,10,4,Level 4,0,1,1167,1400,4.874446774,999.999
US,CA,CA,READING,11,1,Level 1,1,-1,615,1055,-999.999,2.265548567
US,CA,CA,READING,11,2,Level 2,1,-1,1055,1112,2.265548567,3.593291405
US,CA,CA,READING,11,3,Level 3,1,0,1112,1170,3.593291405,4.944327976
US,CA,CA,READING,11,4,Level 4,1,1,1170,1400,4.944327976,999.999
US,CA,CA,READING,12,1,Level 1,0,-1,615,1056,-999.999,2.288842301
US,CA,CA,READING,12,2,Level 2,0,-1,1056,1118,2.288842301,3.733053809
US,CA,CA,READING,12,3,Level 3,0,0,1118,1177,3.733053809,5.107384114
US,CA,CA,READING,12,4,Level 4,0,1,1177,1400,5.107384114,999.999
US,CA,CA,READING,2,1,Level 1,0,-1,610,893,-999.999,-1.508036338
US,CA,CA,READING,2,2,Level 2,0,-1,893,944,-1.508036338,-0.320055905
US,CA,CA,READING,2,3,Level 3,0,0,944,985,-0.320055905,0.6349871884
US,CA,CA,READING,2,4,Level 4,0,1,985,1341,0.6349871884,999.999
US,CA,CA,READING,3,1,Level 1,1,-1,610,942,-999.999,-0.3666433729
US,CA,CA,READING,3,2,Level 2,1,-1,942,992,-0.3666433729,0.7980433263
US,CA,CA,READING,3,3,Level 3,1,0,992,1032,0.7980433263,1.729792686
US,CA,CA,READING,3,4,Level 4,1,1,1032,1339,1.729792686,999.999
US,CA,CA,READING,4,1,Level 1,1,-1,610,984,-999.999,0.6116934545
US,CA,CA,READING,4,2,Level 2,1,-1,984,1021,0.6116934545,1.473561612
US,CA,CA,READING,4,3,Level 3,1,0,1021,1060,1.473561612,2.382017237
US,CA,CA,READING,4,4,Level 4,1,1,1060,1346,2.382017237,999.999
US,CA,CA,READING,5,1,Level 1,1,-1,610,1005,-999.999,1.100861868
US,CA,CA,READING,5,2,Level 2,1,-1,1005,1043,1.100861868,1.98602376
US,CA,CA,READING,5,3,Level 3,1,0,1043,1096,1.98602376,3.220591661
US,CA,CA,READING,5,4,Level 4,1,1,1096,1355,3.220591661,999.999
US,CA,CA,READING,6,1,Level 1,1,-1,610,1011,-999.999,1.240624272
US,CA,CA,READING,6,2,Level 2,1,-1,1011,1067,1.240624272,2.545073375
US,CA,CA,READING,6,3,Level 3,1,0,1067,1129,2.545073375,3.989284882
US,CA,CA,READING,6,4,Level 4,1,1,1129,1393,3.989284882,999.999
US,CA,CA,READING,7,1,Level 1,1,-1,610,1036,-999.999,1.822967622
US,CA,CA,READING,7,2,Level 2,1,-1,1036,1081,1.822967622,2.871185651
US,CA,CA,READING,7,3,Level 3,1,0,1081,1148,2.871185651,4.431865828
US,CA,CA,READING,7,4,Level 4,1,1,1148,1385,4.431865828,999.999
US,CA,CA,READING,8,1,Level 1,1,-1,610,1040,-999.999,1.916142558
US,CA,CA,READING,8,2,Level 2,1,-1,1040,1097,1.916142558,3.243885395
US,CA,CA,READING,8,3,Level 3,1,0,1097,1165,3.243885395,4.827859306
US,CA,CA,READING,8,4,Level 4,1,1,1165,1400,4.827859306,999.999
US,CA,CA,READING,9,1,Level 1,0,-1,610,1042,-999.999,1.962730026
US,CA,CA,READING,9,2,Level 2,0,-1,1042,1098,1.962730026,3.267179129
US,CA,CA,READING,9,3,Level 3,0,0,1098,1166,3.267179129,4.85115304
US,CA,CA,READING,9,4,Level 4,0,1,1166,1400,4.85115304,999.999
US,CO,CO,READING,1,1,Did Not Yet Meet Expectations,0,-1,610,769,-999.9999,-4.3964
US,CO,CO,READING,1,2,Partially Met Expectations,0,-1,769,813,-4.3964,-3.3715
US,CO,CO,READING,1,3,Approached Expectations,0,-1,813,854,-3.3715,-2.4164
US,CO,CO,READING,1,4,Met Expectations,0,0,854,960,-2.4164,0.0527
US,CO,CO,READING,1,5,Exceeded Expectations,0,1,960,1256,0.0527,999.9999
US,CO,CO,READING,10,1,Did Not Yet Meet Expectations,0,-1,610,1030,-999.9999,1.6833
US,CO,CO,READING,10,2,Partially Met Expectations,0,-1,1030,1075,1.6833,2.7315
US,CO,CO,READING,10,3,Approached Expectations,0,-1,1075,1122,2.7315,3.8263
US,CO,CO,READING,10,4,Met Expectations,0,0,1122,1185,3.8263,5.2938
US,CO,CO,READING,10,5,Exceeded Expectations,0,1,1185,1400,5.2938,999.9999
US,CO,CO,READING,11,1,Did Not Yet Meet Expectations,0,-1,615,1035,-999.9999,1.7997
US,CO,CO,READING,11,2,Partially Met Expectations,0,-1,1035,1081,1.7997,2.8712
US,CO,CO,READING,11,3,Approached Expectations,0,-1,1081,1127,2.8712,3.9427
US,CO,CO,READING,11,4,Met Expectations,0,0,1127,1191,3.9427,5.4335
US,CO,CO,READING,11,5,Exceeded Expectations,0,1,1191,1400,5.4335,999.9999
US,CO,CO,READING,12,1,Did Not Yet Meet Expectations,0,-1,615,1036,-999.9999,1.823
US,CO,CO,READING,12,2,Partially Met Expectations,0,-1,1036,1087,1.823,3.011
US,CO,CO,READING,12,3,Approached Expectations,0,-1,1087,1135,3.011,4.1291
US,CO,CO,READING,12,4,Met Expectations,0,0,1135,1200,4.1291,5.6432
US,CO,CO,READING,12,5,Exceeded Expectations,0,1,1200,1400,5.6432,999.9999
US,CO,CO,READING,2,1,Did Not Yet Meet Expectations,0,-1,610,861,-999.9999,-2.2534
US,CO,CO,READING,2,2,Partially Met Expectations,0,-1,861,906,-2.2534,-1.2052
US,CO,CO,READING,2,3,Approached Expectations,0,-1,906,948,-1.2052,-0.2268
US,CO,CO,READING,2,4,Met Expectations,0,0,948,1033,-0.2268,1.7531
US,CO,CO,READING,2,5,Exceeded Expectations,0,1,1033,1341,1.7531,999.9999
US,CO,CO,READING,3,1,Did Not Yet Meet Expectations,1,-1,610,918,-999.9999,-0.9256
US,CO,CO,READING,3,2,Partially Met Expectations,1,-1,918,963,-0.9256,0.1226
US,CO,CO,READING,3,3,Approached Expectations,1,-1,963,1001,0.1226,1.0077
