vchRegionCode	StateTest	Subject	Grade	ProficiencyLevel	ProficiencyLevelName	MinSS	MaxSS	Linked
AK	AK	Reading	11	3	Proficient	857	1234	0
AK	AK	Reading	11	4	Advanced	1235	1400	0
AK	AK	Reading	12	1	Far Below 	0	587	0
AK	AK	Reading	12	2	Below	588	896	0
AK	AK	Reading	12	3	Proficient	897	1291	0
AK	AK	Reading	12	4	Advanced	1292	1400	0
AL	AL	Math	1	1	Need Support	0	342	0
AL	AL	Math	1	2	Close	343	424	0
AL	AL	Math	1	3	Ready	425	497	0
AL	AL	Math	1	4	Exceeding	498	1400	0
AL	AL	Math	2	1	Need Support	0	459	0
AL	AL	Math	2	2	Close	460	531	0
AL	AL	Math	2	3	Ready	532	598	0
AL	AL	Math	2	4	Exceeding	599	1400	0
AL	AL	Math	3	1	Need Support	0	546	1
AL	AL	Math	3	2	Close	547	622	1
AL	AL	Math	3	3	Ready	623	680	1
AL	AL	Math	3	4	Exceeding	681	1400	1
AL	AL	Math	4	1	Need Support	0	564	1
AL	AL	Math	4	2	Close	565	691	1
AL	AL	Math	4	3	Ready	692	761	1
AL	AL	Math	4	4	Exceeding	762	1400	1
AL	AL	Math	5	1	Need Support	0	601	1
AL	AL	Math	5	2	Close	602	755	1
AL	AL	Math	5	3	Ready	756	814	1
AL	AL	Math	5	4	Exceeding	815	1400	1
AL	AL	Math	6	1	Need Support	0	662	1
AL	AL	Math	6	2	Close	663	777	1
AL	AL	Math	6	3	Ready	778	841	1
AL	AL	Math	6	4	Exceeding	842	1400	1
AL	AL	Math	7	1	Need Support	0	738	1
AL	AL	Math	7	2	Close	739	821	1
AL	AL	Math	7	3	Ready	822	876	1
AL	AL	Math	7	4	Exceeding	877	1400	1
AL	AL	Math	8	1	Need Support	0	787	1
AL	AL	Math	8	2	Close	788	849	1
AL	AL	Math	8	3	Ready	850	889	1
AL	AL	Math	8	4	Exceeding	890	1400	1
AL	AL	Math	9	1	Need Support	0	798	0
AL	AL	Math	9	2	Close	799	854	0
AL	AL	Math	9	3	Ready	855	894	0
AL	AL	Math	9	4	Exceeding	895	1400	0
AL	AL	Math	10	1	Need Support	0	802	0
AL	AL	Math	10	2	Close	803	859	0
AL	AL	Math	10	3	Ready	860	899	0
AL	AL	Math	10	4	Exceeding	900	1400	0
AL	AL	Math	11	1	Need Support	0	818	0
AL	AL	Math	11	2	Close	819	874	0
AL	AL	Math	11	3	Ready	875	913	0
AL	AL	Math	11	4	Exceeding	914	1400	0
AL	AL	Math	12	1	Need Support	0	835	0
AL	AL	Math	12	2	Close	836	891	0
AL	AL	Math	12	3	Ready	892	921	0
