vchRegionCode	StateTest	Subject	Grade	ProficiencyLevel	ProficiencyLevelName	MinSS	MaxSS	Linked
AL	AL	Reading	5	2	Level II	161	381	1
AL	AL	Reading	5	3	Level III	382	535	1
AL	AL	Reading	5	4	Level IV	536	1400	1
AL	AL	Reading	6	1	Level I	0	172	1
AL	AL	Reading	6	2	Level II	173	426	1
AL	AL	Reading	6	3	Level III	427	562	1
AL	AL	Reading	6	4	Level IV	563	1400	1
AL	AL	Reading	7	1	Level I	0	196	1
AL	AL	Reading	7	2	Level II	197	456	1
AL	AL	Reading	7	3	Level III	457	670	1
AL	AL	Reading	7	4	Level IV	671	1400	1
AL	AL	Reading	8	1	Level I	0	225	1
AL	AL	Reading	8	2	Level II	226	562	1
AL	AL	Reading	8	3	Level III	563	892	1
AL	AL	Reading	8	4	Level IV	893	1400	1
AL	AL	Reading	9	1	Level I	0	463	0
AL	AL	Reading	9	2	Level II	464	644	0
AL	AL	Reading	9	3	Level III	645	965	0
AL	AL	Reading	9	4	Level IV	966	1400	0
AL	AL	Reading	10	1	Level I	0	465	0
AL	AL	Reading	10	2	Level II	466	658	0
AL	AL	Reading	10	3	Level III	659	1003	0
AL	AL	Reading	10	4	Level IV	1004	1400	0
AL	AL	Reading	11	1	Level I	0	492	0
AL	AL	Reading	11	2	Level II	493	696	0
AL	AL	Reading	11	3	Level III	697	1067	0
AL	AL	Reading	11	4	Level IV	1068	1400	0
AL	AL	Reading	12	1	Level I	0	496	0
AL	AL	Reading	12	2	Level II	497	720	0
AL	AL	Reading	12	3	Level III	721	1143	0
AL	AL	Reading	12	4	Level IV	1144	1400	0
AR	AR	Math	1	1	Below Basic	0	209	0
AR	AR	Math	1	2	Basic	210	305	0
AR	AR	Math	1	3	Proficient	306	393	0
AR	AR	Math	1	4	Advanced	394	1400	0
AR	AR	Math	2	1	Below Basic	0	332	0
AR	AR	Math	2	2	Basic	333	434	0
AR	AR	Math	2	3	Proficient	435	509	0
AR	AR	Math	2	4	Advanced	510	1400	0
AR	AR	Math	3	1	Below Basic	0	381	1
AR	AR	Math	3	2	Basic	382	501	1
AR	AR	Math	3	3	Proficient	502	603	1
AR	AR	Math	3	4	Advanced	604	1400	1
AR	AR	Math	4	1	Below Basic	0	525	1
AR	AR	Math	4	2	Basic	526	599	1
AR	AR	Math	4	3	Proficient	600	694	1
AR	AR	Math	4	4	Advanced	695	1400	1
AR	AR	Math	5	1	Below Basic	0	577	1
AR	AR	Math	5	2	Basic	578	652	1
AR	AR	Math	5	3	Proficient	653	792	1
AR	AR	Math	5	4	Advanced	793	1400	1
AR	AR	Math	6	1	Below Basic	0	537	1
AR	AR	Math	6	2	Basic	538	662	1
AR	AR	Math	6	3	Proficient	663	785	1
AR	AR	Math	6	4	Advanced	786	1400	1
AR	AR	Math	7	1	Below Basic	0	645	1
AR	AR	Math	7	2	Basic	646	748	1
AR	AR	Math	7	3	Proficient	749	867	1
AR	AR	Math	7	4	Advanced	868	1400	1
AR	AR	Math	8	1	Below Basic	0	760	1
AR	AR	Math	8	2	Basic	761	834	1
AR	AR	Math	8	3	Proficient	835	1202	1
AR	AR	Math	8	4	Advanced	1203	1400	1
AR	AR	Math	9	1	Below Basic	0	769	0
AR	AR	Math	9	2	Basic	770	836	0
AR	AR	Math	9	3	Proficient	837	1398	0
AR	AR	Math	9	4	Advanced	1399	1400	0
AR	AR	Math	10	1	Below Basic	0	772	0
AR	AR	Math	10	2	Basic	773	840	0
AR	AR	Math	10	3	Proficient	841	1398	0
AR	AR	Math	10	4	Advanced	1399	1400	0
AR	AR	Math	11	1	Below Basic	0	787	0
AR	AR	Math	11	2	Basic	788	855	0
AR	AR	Math	11	3	Proficient	856	1398	0
AR	AR	Math	11	4	Advanced	1399	1400	0
AR	AR	Math	12	1	Below Basic	0	805	0
AR	AR	Math	12	2	Basic	806	871	0
AR	AR	Math	12	3	Proficient	872	1398	0
AR	AR	Math	12	4	Advanced	1399	1400	0
AR	AR	Reading	1	1	Below Basic	0	77	0
AR	AR	Reading	1	2	Basic	78	107	0
AR	AR	Reading	1	3	Proficient	108	222	0
AR	AR	Reading	1	4	Advanced	223	1400	0
AR	AR	Reading	2	1	Below Basic	0	162	0
AR	AR	Reading	2	2	Basic	163	267	0
AR	AR	Reading	2	3	Proficient	268	379	0
AR	AR	Reading	2	4	Advanced	380	1400	0
AR	AR	Reading	3	1	Below Basic	0	255	1
AR	AR	Reading	3	2	Basic	256	366	1
AR	AR	Reading	3	3	Proficient	367	495	1
AR	AR	Reading	3	4	Advanced	496	1400	1
AR	AR	Reading	4	1	Below Basic	0	243	1
AR	AR	Reading	4	2	Basic	244	441	1
AR	AR	Reading	4	3	Proficient	442	584	1
