vchRegionCode,StateTest,Subject,Grade,iProficiencyLevel,vchProficiency,iMinSS,iMaxSS,linked,ProfFlag
AK,AK,Math,1,4,Advanced,440,1400,0,1
AK,AK,Math,2,1,Far Below,0,429,0,0
AK,AK,Math,2,2,Below,430,473,0,0
AK,AK,Math,2,3,Proficient,474,549,0,1
AK,AK,Math,2,4,Advanced,550,1400,0,1
AK,AK,Math,3,1,Far Below,0,512,1,0
AK,AK,Math,3,2,Below,513,563,1,0
AK,AK,Math,3,3,Proficient,564,637,1,1
AK,AK,Math,3,4,Advanced,638,1400,1,1
AK,AK,Math,4,1,Far Below,0,577,1,0
AK,AK,Math,4,2,Below,578,634,1,0
AK,AK,Math,4,3,Proficient,635,711,1,1
AK,AK,Math,4,4,Advanced,712,1400,1,1
AK,AK,Math,5,1,Far Below,0,604,1,0
AK,AK,Math,5,2,Below,605,686,1,0
AK,AK,Math,5,3,Proficient,687,762,1,1
AK,AK,Math,5,4,Advanced,763,1400,1,1
AK,AK,Math,6,1,Far Below,0,656,0,0
AK,AK,Math,6,2,Below,657,740,0,0
AK,AK,Math,6,3,Proficient,741,821,0,1
AK,AK,Math,6,4,Advanced,822,1400,0,1
AK,AK,Math,7,1,Far Below,0,673,0,0
AK,AK,Math,7,2,Below,674,767,0,0
AK,AK,Math,7,3,Proficient,768,854,0,1
AK,AK,Math,7,4,Advanced,855,1400,0,1
AK,AK,Math,8,1,Far Below,0,695,0,0
AK,AK,Math,8,2,Below,696,792,0,0
AK,AK,Math,8,3,Proficient,793,890,0,1
AK,AK,Math,8,4,Advanced,891,1400,0,1
AK,AK,Math,9,1,Far Below,0,705,0,0
AK,AK,Math,9,2,Below,706,801,0,0
AK,AK,Math,9,3,Proficient,802,894,0,1
AK,AK,Math,9,4,Advanced,895,1400,0,1
AK,AK,Math,10,1,Far Below,0,707,0,0
AK,AK,Math,10,2,Below,708,805,0,0
AK,AK,Math,10,3,Proficient,806,899,0,1
AK,AK,Math,10,4,Advanced,900,1400,0,1
AK,AK,Math,11,1,Far Below,0,728,0,0
AK,AK,Math,11,2,Below,729,820,0,0
AK,AK,Math,11,3,Proficient,821,917,0,1
AK,AK,Math,11,4,Advanced,918,1400,0,1
AK,AK,Math,12,1,Far Below,0,731,0,0
AK,AK,Math,12,2,Below,732,836,0,0
AK,AK,Math,12,3,Proficient,837,924,0,1
AK,AK,Math,12,4,Advanced,925,1400,0,1
AK,AK,Reading,1,1,Far Below,0,70,0,0
AK,AK,Reading,1,2,Below,71,87,0,0
AK,AK,Reading,1,3,Proficient,88,179,0,1
AK,AK,Reading,1,4,Advanced,180,1400,0,1
AK,AK,Reading,2,1,Far Below,0,107,0,0
AK,AK,Reading,2,2,Below,108,223,0,0
AK,AK,Reading,2,3,Proficient,224,355,0,1
AK,AK,Reading,2,4,Advanced,356,1400,0,1
AK,AK,Reading,3,1,Far Below,0,202,1,0
AK,AK,Reading,3,2,Below,203,321,1,0
AK,AK,Reading,3,3,Proficient,322,466,1,1
AK,AK,Reading,3,4,Advanced,467,1400,1,1
AK,AK,Reading,4,1,Far Below,0,282,1,0
AK,AK,Reading,4,2,Below,283,416,1,0
AK,AK,Reading,4,3,Proficient,417,589,1,1
AK,AK,Reading,4,4,Advanced,590,1400,1,1
AK,AK,Reading,5,1,Far Below,0,327,1,0
AK,AK,Reading,5,2,Below,328,492,1,0
AK,AK,Reading,5,3,Proficient,493,757,1,1
AK,AK,Reading,5,4,Advanced,758,1400,1,1
AK,AK,Reading,6,1,Far Below,0,401,1,0
AK,AK,Reading,6,2,Below,402,580,1,0
AK,AK,Reading,6,3,Proficient,581,850,1,1
