vchRegionCode,StateTest,Subject,Grade,iProficiencyLevel,vchProficiency,iMinSS,iMaxSS,MinRasch,MaxRasch,linked,ProfFlag
AK,AK,Math,4,4,Advanced,712,1400,0.681,999.999,1,1
AK,AK,Math,5,4,Advanced,763,1400,1.329,999.999,1,1
AK,AK,Math,6,4,Advanced,822,1400,2.078,999.999,0,1
AK,AK,Math,7,4,Advanced,855,1400,2.497,999.999,0,1
AK,AK,Math,8,4,Advanced,891,1400,2.954,999.999,0,1
AK,AK,Math,9,4,Advanced,895,1400,3.005,999.999,0,1
AK,AK,Math,10,4,Advanced,900,1400,3.068,999.999,0,1
AK,AK,Math,11,4,Advanced,918,1400,3.297,999.999,0,1
AK,AK,Math,12,4,Advanced,925,1400,3.386,999.999,0,1
AL,AL,Reading,1,1,Need Support,0,153,-999.999,-2.455,0,0
AL,AL,Reading,2,1,Need Support,0,315,-999.999,-0.544,0,0
AL,AL,Reading,3,1,Need Support,0,417,-999.999,0.4885,1,0
AL,AL,Reading,4,1,Need Support,0,439,-999.999,0.6645,1,0
AL,AL,Reading,5,1,Need Support,0,523,-999.999,1.441,1,0
AL,AL,Reading,6,1,Need Support,0,524,-999.999,1.449,1,0
AL,AL,Reading,7,1,Need Support,0,525,-999.999,1.457,1,0
AL,AL,Reading,8,1,Need Support,0,526,-999.999,1.465,1,0
AL,AL,Reading,9,1,Need Support,0,613,-999.999,2.0885,0,0
AL,AL,Reading,10,1,Need Support,0,620,-999.999,2.137,0,0
AL,AL,Reading,11,1,Need Support,0,649,-999.999,2.324,0,0
AL,AL,Reading,12,1,Need Support,0,678,-999.999,2.488,0,0
AL,AL,Reading,1,2,Close,154,218,-2.455,-1.6715,0,0
AL,AL,Reading,2,2,Close,316,385,-0.544,0.21,0,0
AL,AL,Reading,3,2,Close,418,501,0.4885,1.2635,1,0
AL,AL,Reading,4,2,Close,440,573,0.6645,1.821,1,0
AL,AL,Reading,5,2,Close,524,698,1.441,2.5935,1,0
AL,AL,Reading,6,2,Close,525,721,1.449,2.7075,1,0
AL,AL,Reading,7,2,Close,526,852,1.457,3.23,1,0
AL,AL,Reading,8,2,Close,527,853,1.465,3.236,1,0
AL,AL,Reading,9,2,Close,614,923,2.0885,3.634,0,0
AL,AL,Reading,10,2,Close,621,963,2.137,3.802,0,0
AL,AL,Reading,11,2,Close,650,1001,2.324,3.96,0,0
AL,AL,Reading,12,2,Close,679,1081,2.488,4.167,0,0
AL,AL,Reading,1,3,Ready,219,293,-1.6715,-0.7725,0,1
AL,AL,Reading,2,3,Ready,386,474,0.21,1.0345,0,1
AL,AL,Reading,3,3,Ready,502,607,1.2635,2.0455,1,1
AL,AL,Reading,4,3,Ready,574,724,1.821,2.723,1,1
AL,AL,Reading,5,3,Ready,699,859,2.5935,3.269,1,1
AL,AL,Reading,6,3,Ready,722,932,2.7075,3.67,1,1
AL,AL,Reading,7,3,Ready,853,1211,3.23,4.63,1,1
AL,AL,Reading,8,3,Ready,854,1212,3.236,4.6345,1,1
AL,AL,Reading,9,3,Ready,924,1253,3.634,4.8555,0,1
AL,AL,Reading,10,3,Ready,964,1294,3.802,5.0515,0,1
AL,AL,Reading,11,3,Ready,1002,1309,3.96,5.182,0,1
AL,AL,Reading,12,3,Ready,1082,1324,4.167,5.4365,0,1
AL,AL,Reading,1,4,Exceeding,294,1400,-0.7725,999.999,0,1
AL,AL,Reading,2,4,Exceeding,475,1400,1.0345,999.999,0,1
AL,AL,Reading,3,4,Exceeding,608,1400,2.0455,999.999,1,1
AL,AL,Reading,4,4,Exceeding,725,1400,2.723,999.999,1,1
AL,AL,Reading,5,4,Exceeding,860,1400,3.269,999.999,1,1
AL,AL,Reading,6,4,Exceeding,933,1400,3.67,999.999,1,1
AL,AL,Reading,7,4,Exceeding,1212,1400,4.63,999.999,1,1
AL,AL,Reading,8,4,Exceeding,1213,1400,4.6345,999.999,1,1
AL,AL,Reading,9,4,Exceeding,1254,1400,4.8555,999.999,0,1
AL,AL,Reading,10,4,Exceeding,1295,1400,5.0515,999.999,0,1
AL,AL,Reading,11,4,Exceeding,1310,1400,5.182,999.999,0,1
AL,AL,Reading,12,4,Exceeding,1325,1400,5.4365,999.999,0,1
AL,AL,Math,1,1,Need Support,0,342,-999.999,-4.004,0,0
AL,AL,Math,2,1,Need Support,0,459,-999.999,-2.518,0,0
AL,AL,Math,3,1,Need Support,0,546,-999.999,-1.414,1,0
AL,AL,Math,4,1,Need Support,0,564,-999.999,-1.185,1,0
AL,AL,Math,5,1,Need Support,0,601,-999.999,-0.715,1,0
AL,AL,Math,6,1,Need Support,0,662,-999.999,0.059,1,0
AL,AL,Math,7,1,Need Support,0,738,-999.999,1.024,1,0
AL,AL,Math,8,1,Need Support,0,787,-999.999,1.646,1,0
AL,AL,Math,9,1,Need Support,0,798,-999.999,1.786,0,0
AL,AL,Math,10,1,Need Support,0,802,-999.999,1.837,0,0
AL,AL,Math,11,1,Need Support,0,818,-999.999,2.04,0,0
AL,AL,Math,12,1,Need Support,0,835,-999.999,2.256,0,0
AL,AL,Math,1,2,Close,343,424,-4.004,-2.963,0,0
AL,AL,Math,2,2,Close,460,531,-2.518,-1.604,0,0
AL,AL,Math,3,2,Close,547,622,-1.414,-0.449,1,0
AL,AL,Math,4,2,Close,565,691,-1.185,0.427,1,0
AL,AL,Math,5,2,Close,602,755,-0.715,1.24,1,0
AL,AL,Math,6,2,Close,663,777,0.059,1.519,1,0
AL,AL,Math,7,2,Close,739,821,1.024,2.078,1,0
AL,AL,Math,8,2,Close,788,849,1.646,2.434,1,0
AL,AL,Math,9,2,Close,799,854,1.786,2.497,0,0
AL,AL,Math,10,2,Close,803,859,1.837,2.561,0,0
AL,AL,Math,11,2,Close,819,874,2.04,2.751,0,0
AL,AL,Math,12,2,Close,836,891,2.256,2.967,0,0
AL,AL,Math,1,3,Ready,425,497,-2.963,-2.036,0,1
AL,AL,Math,2,3,Ready,532,598,-1.604,-0.753,0,1
AL,AL,Math,3,3,Ready,623,680,-0.449,0.288,1,1
AL,AL,Math,4,3,Ready,692,761,0.427,1.316,1,1
AL,AL,Math,5,3,Ready,756,814,1.24,1.989,1,1
AL,AL,Math,6,3,Ready,778,841,1.519,2.332,1,1
AL,AL,Math,7,3,Ready,822,876,2.078,2.776,1,1
AL,AL,Math,8,3,Ready,850,889,2.434,2.941,1,1
AL,AL,Math,9,3,Ready,855,894,2.497,3.005,0,1
AL,AL,Math,10,3,Ready,860,899,2.561,3.068,0,1
AL,AL,Math,11,3,Ready,875,913,2.751,3.246,0,1
AL,AL,Math,12,3,Ready,892,921,2.967,3.348,0,1
AL,AL,Math,1,4,Exceeding,498,1400,-2.036,999.999,0,1
AL,AL,Math,2,4,Exceeding,599,1400,-0.753,999.999,0,1
AL,AL,Math,3,4,Exceeding,681,1400,0.288,999.999,1,1
AL,AL,Math,4,4,Exceeding,762,1400,1.316,999.999,1,1
AL,AL,Math,5,4,Exceeding,815,1400,1.989,999.999,1,1
AL,AL,Math,6,4,Exceeding,842,1400,2.332,999.999,1,1
AL,AL,Math,7,4,Exceeding,877,1400,2.776,999.999,1,1
AL,AL,Math,8,4,Exceeding,890,1400,2.941,999.999,1,1
AL,AL,Math,9,4,Exceeding,895,1400,3.005,999.999,0,1
AL,AL,Math,10,4,Exceeding,900,1400,3.068,999.999,0,1
AL,AL,Math,11,4,Exceeding,914,1400,3.246,999.999,0,1
AL,AL,Math,12,4,Exceeding,922,1400,3.348,999.999,0,1
AR,AR,Reading,1,1,Need Support,0,153,-999.999,-2.455,0,0
AR,AR,Reading,2,1,Need Support,0,315,-999.999,-0.544,0,0
AR,AR,Reading,3,1,Need Support,0,417,-999.999,0.4885,1,0
AR,AR,Reading,4,1,Need Support,0,439,-999.999,0.6645,1,0
AR,AR,Reading,5,1,Need Support,0,523,-999.999,1.441,1,0
AR,AR,Reading,6,1,Need Support,0,524,-999.999,1.449,1,0
AR,AR,Reading,7,1,Need Support,0,525,-999.999,1.457,1,0
AR,AR,Reading,8,1,Need Support,0,526,-999.999,1.465,1,0
AR,AR,Reading,9,1,Need Support,0,613,-999.999,2.0885,0,0
AR,AR,Reading,10,1,Need Support,0,620,-999.999,2.137,0,0
AR,AR,Reading,11,1,Need Support,0,649,-999.999,2.324,0,0
AR,AR,Reading,12,1,Need Support,0,678,-999.999,2.488,0,0
AR,AR,Reading,1,2,Close,154,218,-2.455,-1.6715,0,0
AR,AR,Reading,2,2,Close,316,385,-0.544,0.21,0,0
AR,AR,Reading,3,2,Close,418,501,0.4885,1.2635,1,0
AR,AR,Reading,4,2,Close,440,573,0.6645,1.821,1,0
AR,AR,Reading,5,2,Close,524,698,1.441,2.5935,1,0
AR,AR,Reading,6,2,Close,525,721,1.449,2.7075,1,0
AR,AR,Reading,7,2,Close,526,852,1.457,3.23,1,0
AR,AR,Reading,8,2,Close,527,853,1.465,3.236,1,0
AR,AR,Reading,9,2,Close,614,923,2.0885,3.634,0,0
AR,AR,Reading,10,2,Close,621,963,2.137,3.802,0,0
AR,AR,Reading,11,2,Close,650,1001,2.324,3.96,0,0
AR,AR,Reading,12,2,Close,679,1081,2.488,4.167,0,0
AR,AR,Reading,1,3,Ready,219,293,-1.6715,-0.7725,0,1
AR,AR,Reading,2,3,Ready,386,474,0.21,1.0345,0,1
AR,AR,Reading,3,3,Ready,502,607,1.2635,2.0455,1,1
AR,AR,Reading,4,3,Ready,574,724,1.821,2.723,1,1
AR,AR,Reading,5,3,Ready,699,859,2.5935,3.269,1,1
AR,AR,Reading,6,3,Ready,722,932,2.7075,3.67,1,1
AR,AR,Reading,7,3,Ready,853,1211,3.23,4.63,1,1
AR,AR,Reading,8,3,Ready,854,1212,3.236,4.6345,1,1
AR,AR,Reading,9,3,Ready,924,1253,3.634,4.8555,0,1
AR,AR,Reading,10,3,Ready,964,1294,3.802,5.0515,0,1
AR,AR,Reading,11,3,Ready,1002,1309,3.96,5.182,0,1
AR,AR,Reading,12,3,Ready,1082,1324,4.167,5.4365,0,1
AR,AR,Reading,1,4,Exceeding,294,1400,-0.7725,999.999,0,1
