CountryCode,RegionCode,TestCode,Subject,Grade,ProficiencyLevel,ProficiencyName,MinRasch,MaxRasch,Linked,ProficiencyFlag
US,AL,AL,READING,8,2,Level 2,0.239,2.7781,1,-1
US,AL,AL,READING,8,3,Level 3,2.7781,4.5717,1,0
US,AL,AL,READING,8,4,Level 4,4.5717,999.9999,1,1
US,AL,AL,READING,9,1,Level 1,-999.9999,0.2623,0,-1
US,AL,AL,READING,9,2,Level 2,0.2623,3.1275,0,-1
US,AL,AL,READING,9,3,Level 3,3.1275,4.8046,0,0
US,AL,AL,READING,9,4,Level 4,4.8046,999.9999,0,1
US,AR,AR,READING,1,1,Need Support,-999.999,-2.857,0,-1
US,AR,AR,READING,1,2,Close,-2.857,-1.915,0,-1
US,AR,AR,READING,1,3,Ready,-1.915,-0.9135,0,0
US,AR,AR,READING,1,4,Exceeding,-0.9135,999.999,0,1
US,AR,AR,READING,10,1,Need Support,-999.999,3.621,1,-1
US,AR,AR,READING,10,2,Close,3.621,4.5245,1,-1
US,AR,AR,READING,10,3,Ready,4.5245,5.92,1,0
US,AR,AR,READING,10,4,Exceeding,5.92,999.999,1,1
US,AR,AR,READING,11,1,Need Support,-999.999,3.762,0,-1
US,AR,AR,READING,11,2,Close,3.762,4.66,0,-1
US,AR,AR,READING,11,3,Ready,4.66,5.994,0,0
US,AR,AR,READING,11,4,Exceeding,5.994,999.999,0,1
US,AR,AR,READING,12,1,Need Support,-999.999,3.975,0,-1
US,AR,AR,READING,12,2,Close,3.975,4.9095,0,-1
US,AR,AR,READING,12,3,Ready,4.9095,6.0675,0,0
US,AR,AR,READING,12,4,Exceeding,6.0675,999.999,0,1
US,AR,AR,READING,2,1,Need Support,-999.999,-0.876,0,-1
US,AR,AR,READING,2,2,Close,-0.876,0.0895,0,-1
US,AR,AR,READING,2,3,Ready,0.0895,0.9655,0,0
US,AR,AR,READING,2,4,Exceeding,0.9655,999.999,0,1
US,AR,AR,READING,3,1,Need Support,-999.999,0.2575,1,-1
US,AR,AR,READING,3,2,Close,0.2575,1.1785,1,-1
US,AR,AR,READING,3,3,Ready,1.1785,2.0455,1,0
US,AR,AR,READING,3,4,Exceeding,2.0455,999.999,1,1
US,AR,AR,READING,4,1,Need Support,-999.999,0.5745,1,-1
US,AR,AR,READING,4,2,Close,0.5745,1.808,1,-1
US,AR,AR,READING,4,3,Ready,1.808,2.723,1,0
US,AR,AR,READING,4,4,Exceeding,2.723,999.999,1,1
US,AR,AR,READING,5,1,Need Support,-999.999,1.457,1,-1
US,AR,AR,READING,5,2,Close,1.457,2.5785,1,-1
US,AR,AR,READING,5,3,Ready,2.5785,3.457,1,0
US,AR,AR,READING,5,4,Exceeding,3.457,999.999,1,1
US,AR,AR,READING,6,1,Need Support,-999.999,1.639,1,-1
US,AR,AR,READING,6,2,Close,1.639,2.7285,1,-1
US,AR,AR,READING,6,3,Ready,2.7285,3.758,1,0
US,AR,AR,READING,6,4,Exceeding,3.758,999.999,1,1
US,AR,AR,READING,7,1,Need Support,-999.999,2.1175,1,-1
US,AR,AR,READING,7,2,Close,2.1175,3.397,1,-1
US,AR,AR,READING,7,3,Ready,3.397,4.8015,1,0
US,AR,AR,READING,7,4,Exceeding,4.8015,999.999,1,1
US,AR,AR,READING,8,1,Need Support,-999.999,2.2415,1,-1
US,AR,AR,READING,8,2,Close,2.2415,3.4025,1,-1
US,AR,AR,READING,8,3,Ready,3.4025,4.8415,1,0
US,AR,AR,READING,8,4,Exceeding,4.8415,999.999,1,1
US,AR,AR,READING,9,1,Need Support,-999.999,2.8565,1,-1
US,AR,AR,READING,9,2,Close,2.8565,3.941,1,-1
US,AR,AR,READING,9,3,Ready,3.941,4.8485,1,0
US,AR,AR,READING,9,4,Exceeding,4.8485,999.999,1,1
US,AZ,AZ,READING,1,1,Minimally Proficient,-999.999,-3.231,0,-1
US,AZ,AZ,READING,1,2,Partially Proficient,-3.231,-2.769,0,-1
US,AZ,AZ,READING,1,3,Proficient,-2.769,-1.307,0,0
US,AZ,AZ,READING,1,4,Highly Proficient,-1.307,999.999,0,1
US,AZ,AZ,READING,10,1,Minimally Proficient,-999.999,3.451,0,-1
US,AZ,AZ,READING,10,2,Partially Proficient,3.451,4.3375,0,-1
US,AZ,AZ,READING,10,3,Proficient,4.3375,5.311,0,0
US,AZ,AZ,READING,10,4,Highly Proficient,5.311,999.999,0,1
US,AZ,AZ,READING,11,1,Minimally Proficient,-999.999,3.5895,0,-1
US,AZ,AZ,READING,11,2,Partially Proficient,3.5895,4.4985,0,-1
