GRADE,CONTENT_AREA,SCALE_SCORE,SCALE_SCORE_CSEM
8,MATHEMATICS,497,26
8,MATHEMATICS,522,36
8,MATHEMATICS,575,65
3,READING,275,48
3,READING,283,27
3,READING,303,20
3,READING,315,16
3,READING,324,15
3,READING,331,13
3,READING,338,12
3,READING,343,12
3,READING,348,11
3,READING,353,11
3,READING,357,10
3,READING,361,10
3,READING,365,10
3,READING,369,10
3,READING,375,10
3,READING,376,9
3,READING,379,9
3,READING,383,9
3,READING,386,9
3,READING,389,9
3,READING,393,9
3,READING,396,10
3,READING,400,10
3,READING,403,10
3,READING,407,10
3,READING,411,10
3,READING,416,11
3,READING,420,11
3,READING,426,12
3,READING,431,13
3,READING,438,14
3,READING,447,16
3,READING,459,19
3,READING,478,27
3,READING,500,48
4,READING,275,36
4,READING,309,20
4,READING,324,15
4,READING,333,12
4,READING,340,11
4,READING,345,10
4,READING,350,9
4,READING,354,9
4,READING,358,8
4,READING,362,8
4,READING,365,8
4,READING,368,8
4,READING,371,8
4,READING,375,7
4,READING,377,7
4,READING,379,7
4,READING,382,7
4,READING,385,7
4,READING,387,7
4,READING,390,7
4,READING,392,7
4,READING,395,7
4,READING,400,7
4,READING,401,7
4,READING,403,8
4,READING,406,8
4,READING,410,8
4,READING,413,8
4,READING,417,9
4,READING,424,9
4,READING,426,10
4,READING,432,12
4,READING,440,14
4,READING,454,20
4,READING,475,36
5,READING,275,43
5,READING,287,24
5,READING,304,17
5,READING,315,15
5,READING,323,13
5,READING,329,12
5,READING,335,11
5,READING,340,10
5,READING,344,10
5,READING,348,10
5,READING,352,9
5,READING,356,9
5,READING,359,9
5,READING,362,9
5,READING,366,9
5,READING,369,9
5,READING,372,9
5,READING,375,9
5,READING,378,9
5,READING,381,9
5,READING,384,9
5,READING,388,9
5,READING,391,9
5,READING,394,9
5,READING,400,9
5,READING,401,9
5,READING,405,10
5,READING,410,10
5,READING,414,11
5,READING,422,12
5,READING,426,13
5,READING,434,14
5,READING,444,17
5,READING,461,24
5,READING,475,43
6,READING,275,39
6,READING,293,22
6,READING,309,16
6,READING,319,13
6,READING,326,12
6,READING,332,11
6,READING,337,10
6,READING,342,10
6,READING,346,9
6,READING,350,9
6,READING,353,9
6,READING,357,8
6,READING,360,8
6,READING,363,8
6,READING,366,8
6,READING,369,8
6,READING,372,8
6,READING,375,8
6,READING,377,8
6,READING,380,8
6,READING,383,8
6,READING,386,8
6,READING,388,8
6,READING,391,8
6,READING,394,8
6,READING,396,8
6,READING,400,8
6,READING,402,8
6,READING,405,8
6,READING,408,8
6,READING,411,8
6,READING,415,9
6,READING,418,9
6,READING,425,9
6,READING,427,10
6,READING,432,11
6,READING,438,12
6,READING,445,13
6,READING,454,16
6,READING,470,22
6,READING,475,39
7,READING,275,41
7,READING,286,23
7,READING,302,16
7,READING,313,14
7,READING,320,12
7,READING,326,11
7,READING,332,10
7,READING,336,10
7,READING,340,9
7,READING,344,9
7,READING,348,9
7,READING,351,8
7,READING,354,8
7,READING,357,8
7,READING,360,8
7,READING,363,8
7,READING,365,8
7,READING,368,8
7,READING,371,8
7,READING,375,7
7,READING,376,7
7,READING,378,7
7,READING,381,7
7,READING,383,7
7,READING,386,7
7,READING,388,8
7,READING,391,8
7,READING,394,8
7,READING,397,8
7,READING,400,8
7,READING,402,8
7,READING,406,9
7,READING,409,9
7,READING,413,9
7,READING,418,10
7,READING,422,11
7,READING,428,12
7,READING,435,13
7,READING,445,16
7,READING,461,22
7,READING,475,40
8,READING,250,45
8,READING,269,25
8,READING,287,18
8,READING,298,15
8,READING,306,13
8,READING,313,12
8,READING,319,11
8,READING,324,11
8,READING,328,10
8,READING,332,10
8,READING,336,10
8,READING,340,9
8,READING,343,9
8,READING,347,9
8,READING,350,9
8,READING,353,9
8,READING,356,9
8,READING,359,8
8,READING,362,8
8,READING,365,8
8,READING,368,8
8,READING,371,8
8,READING,375,8
8,READING,377,8
8,READING,380,9
8,READING,383,9
8,READING,386,9
8,READING,389,9
8,READING,392,9
8,READING,396,9
8,READING,400,10
8,READING,403,10
8,READING,407,10
8,READING,412,11
8,READING,419,11
8,READING,423,12
8,READING,429,13
8,READING,438,15
8,READING,449,18
8,READING,467,25
8,READING,500,45
10,READING,225,55
10,READING,255,30
10,READING,276,22
10,READING,290,18
10,READING,299,16
10,READING,307,15
10,READING,314,13
10,READING,319,13
10,READING,324,12
10,READING,329,12
10,READING,333,11
10,READING,338,11
10,READING,341,11
10,READING,345,10
10,READING,349,10
10,READING,352,10
10,READING,355,10
10,READING,359,10
10,READING,362,10
10,READING,365,10
10,READING,368,10
10,READING,371,10
10,READING,375,10
10,READING,377,10
10,READING,380,10
10,READING,383,10
10,READING,387,10
10,READING,390,10
10,READING,393,10
10,READING,396,10
10,READING,400,10
10,READING,403,10
10,READING,407,10
10,READING,410,11
10,READING,414,11
10,READING,418,11
10,READING,427,12
10,READING,428,12
10,READING,433,13
10,READING,439,14
10,READING,445,15
10,READING,453,16
10,READING,463,18
10,READING,476,22
10,READING,498,30
10,READING,525,55
EOCT,EOC_MATHEMATICS_1 ,200,84
EOCT,EOC_MATHEMATICS_1 ,239,47
EOCT,EOC_MATHEMATICS_1 ,273,34
EOCT,EOC_MATHEMATICS_1 ,294,28
EOCT,EOC_MATHEMATICS_1 ,309,25
EOCT,EOC_MATHEMATICS_1 ,322,23
EOCT,EOC_MATHEMATICS_1 ,332,21
EOCT,EOC_MATHEMATICS_1 ,342,20
EOCT,EOC_MATHEMATICS_1 ,350,19
EOCT,EOC_MATHEMATICS_1 ,358,18
EOCT,EOC_MATHEMATICS_1 ,365,18
EOCT,EOC_MATHEMATICS_1 ,375,17
EOCT,EOC_MATHEMATICS_1 ,378,17
EOCT,EOC_MATHEMATICS_1 ,385,17
EOCT,EOC_MATHEMATICS_1 ,391,16
EOCT,EOC_MATHEMATICS_1 ,400,16
EOCT,EOC_MATHEMATICS_1 ,402,16
EOCT,EOC_MATHEMATICS_1 ,407,16
EOCT,EOC_MATHEMATICS_1 ,413,16
EOCT,EOC_MATHEMATICS_1 ,418,16
EOCT,EOC_MATHEMATICS_1 ,424,16
EOCT,EOC_MATHEMATICS_1 ,429,15
EOCT,EOC_MATHEMATICS_1 ,434,15
EOCT,EOC_MATHEMATICS_1 ,443,16
EOCT,EOC_MATHEMATICS_1 ,445,16
EOCT,EOC_MATHEMATICS_1 ,450,16
EOCT,EOC_MATHEMATICS_1 ,456,16
EOCT,EOC_MATHEMATICS_1 ,461,16
EOCT,EOC_MATHEMATICS_1 ,467,16
EOCT,EOC_MATHEMATICS_1 ,473,17
EOCT,EOC_MATHEMATICS_1 ,480,17
EOCT,EOC_MATHEMATICS_1 ,487,18
EOCT,EOC_MATHEMATICS_1 ,494,19
EOCT,EOC_MATHEMATICS_1 ,502,19
EOCT,EOC_MATHEMATICS_1 ,510,21
EOCT,EOC_MATHEMATICS_1 ,520,22
EOCT,EOC_MATHEMATICS_1 ,532,24
EOCT,EOC_MATHEMATICS_1 ,547,28
EOCT,EOC_MATHEMATICS_1 ,567,33
EOCT,EOC_MATHEMATICS_1 ,600,46
EOCT,EOC_MATHEMATICS_1 ,675,83
EOCT,EOC_MATHEMATICS_2 ,200,62
EOCT,EOC_MATHEMATICS_2 ,270,34
EOCT,EOC_MATHEMATICS_2 ,295,25
EOCT,EOC_MATHEMATICS_2 ,310,21
EOCT,EOC_MATHEMATICS_2 ,321,18
EOCT,EOC_MATHEMATICS_2 ,330,17
EOCT,EOC_MATHEMATICS_2 ,337,15
EOCT,EOC_MATHEMATICS_2 ,344,15
EOCT,EOC_MATHEMATICS_2 ,350,14
EOCT,EOC_MATHEMATICS_2 ,356,13
EOCT,EOC_MATHEMATICS_2 ,361,13
EOCT,EOC_MATHEMATICS_2 ,366,13
EOCT,EOC_MATHEMATICS_2 ,370,12
EOCT,EOC_MATHEMATICS_2 ,375,12
EOCT,EOC_MATHEMATICS_2 ,379,12
EOCT,EOC_MATHEMATICS_2 ,383,12
EOCT,EOC_MATHEMATICS_2 ,387,12
EOCT,EOC_MATHEMATICS_2 ,391,12
EOCT,EOC_MATHEMATICS_2 ,395,11
EOCT,EOC_MATHEMATICS_2 ,400,11
EOCT,EOC_MATHEMATICS_2 ,403,11
EOCT,EOC_MATHEMATICS_2 ,407,11
EOCT,EOC_MATHEMATICS_2 ,411,11
EOCT,EOC_MATHEMATICS_2 ,415,11
EOCT,EOC_MATHEMATICS_2 ,419,12
EOCT,EOC_MATHEMATICS_2 ,423,12
EOCT,EOC_MATHEMATICS_2 ,427,12
EOCT,EOC_MATHEMATICS_2 ,431,12
EOCT,EOC_MATHEMATICS_2 ,436,12
EOCT,EOC_MATHEMATICS_2 ,440,12
EOCT,EOC_MATHEMATICS_2 ,445,13
EOCT,EOC_MATHEMATICS_2 ,450,13
EOCT,EOC_MATHEMATICS_2 ,455,14
EOCT,EOC_MATHEMATICS_2 ,461,15
EOCT,EOC_MATHEMATICS_2 ,468,16
EOCT,EOC_MATHEMATICS_2 ,476,17
EOCT,EOC_MATHEMATICS_2 ,485,19
EOCT,EOC_MATHEMATICS_2 ,497,21
EOCT,EOC_MATHEMATICS_2 ,513,26
EOCT,EOC_MATHEMATICS_2 ,540,35
EOCT,EOC_MATHEMATICS_2 ,600,63
7,EOC_MATHEMATICS_1 ,200,84
7,EOC_MATHEMATICS_1 ,239,47
7,EOC_MATHEMATICS_1 ,273,34
7,EOC_MATHEMATICS_1 ,294,28
7,EOC_MATHEMATICS_1 ,309,25
7,EOC_MATHEMATICS_1 ,322,23
7,EOC_MATHEMATICS_1 ,332,21
7,EOC_MATHEMATICS_1 ,342,20
7,EOC_MATHEMATICS_1 ,350,19
7,EOC_MATHEMATICS_1 ,358,18
7,EOC_MATHEMATICS_1 ,365,18
7,EOC_MATHEMATICS_1 ,375,17
7,EOC_MATHEMATICS_1 ,378,17
7,EOC_MATHEMATICS_1 ,385,17
7,EOC_MATHEMATICS_1 ,391,16
7,EOC_MATHEMATICS_1 ,400,16
7,EOC_MATHEMATICS_1 ,402,16
7,EOC_MATHEMATICS_1 ,407,16
7,EOC_MATHEMATICS_1 ,413,16
7,EOC_MATHEMATICS_1 ,418,16
7,EOC_MATHEMATICS_1 ,424,16
7,EOC_MATHEMATICS_1 ,429,15
7,EOC_MATHEMATICS_1 ,434,15
7,EOC_MATHEMATICS_1 ,443,16
7,EOC_MATHEMATICS_1 ,445,16
7,EOC_MATHEMATICS_1 ,450,16
7,EOC_MATHEMATICS_1 ,456,16
7,EOC_MATHEMATICS_1 ,461,16
7,EOC_MATHEMATICS_1 ,467,16
7,EOC_MATHEMATICS_1 ,473,17
7,EOC_MATHEMATICS_1 ,480,17
7,EOC_MATHEMATICS_1 ,487,18
7,EOC_MATHEMATICS_1 ,494,19
7,EOC_MATHEMATICS_1 ,502,19
7,EOC_MATHEMATICS_1 ,510,21
7,EOC_MATHEMATICS_1 ,520,22
7,EOC_MATHEMATICS_1 ,532,24
7,EOC_MATHEMATICS_1 ,547,28
7,EOC_MATHEMATICS_1 ,567,33
7,EOC_MATHEMATICS_1 ,600,46
7,EOC_MATHEMATICS_1 ,675,83
8,EOC_MATHEMATICS_1 ,200,84
8,EOC_MATHEMATICS_1 ,239,47
8,EOC_MATHEMATICS_1 ,273,34
8,EOC_MATHEMATICS_1 ,294,28
8,EOC_MATHEMATICS_1 ,309,25
8,EOC_MATHEMATICS_1 ,322,23
8,EOC_MATHEMATICS_1 ,332,21
8,EOC_MATHEMATICS_1 ,342,20
8,EOC_MATHEMATICS_1 ,350,19
8,EOC_MATHEMATICS_1 ,358,18
8,EOC_MATHEMATICS_1 ,365,18
8,EOC_MATHEMATICS_1 ,375,17
8,EOC_MATHEMATICS_1 ,378,17
8,EOC_MATHEMATICS_1 ,385,17
8,EOC_MATHEMATICS_1 ,391,16
8,EOC_MATHEMATICS_1 ,400,16
8,EOC_MATHEMATICS_1 ,402,16
8,EOC_MATHEMATICS_1 ,407,16
8,EOC_MATHEMATICS_1 ,413,16
8,EOC_MATHEMATICS_1 ,418,16
8,EOC_MATHEMATICS_1 ,424,16
8,EOC_MATHEMATICS_1 ,429,15
8,EOC_MATHEMATICS_1 ,434,15
8,EOC_MATHEMATICS_1 ,443,16
8,EOC_MATHEMATICS_1 ,445,16
8,EOC_MATHEMATICS_1 ,450,16
8,EOC_MATHEMATICS_1 ,456,16
8,EOC_MATHEMATICS_1 ,461,16
8,EOC_MATHEMATICS_1 ,467,16
8,EOC_MATHEMATICS_1 ,473,17
8,EOC_MATHEMATICS_1 ,480,17
8,EOC_MATHEMATICS_1 ,487,18
8,EOC_MATHEMATICS_1 ,494,19
8,EOC_MATHEMATICS_1 ,502,19
8,EOC_MATHEMATICS_1 ,510,21
8,EOC_MATHEMATICS_1 ,520,22
8,EOC_MATHEMATICS_1 ,532,24
