GRADE,CONTENT_AREA,SCALE_SCORE,SCALE_SCORE_CSEM,
6,MATHEMATICS,747,10
6,MATHEMATICS,751,10
6,MATHEMATICS,755,10
6,MATHEMATICS,758,9
6,MATHEMATICS,761,9
6,MATHEMATICS,764,9
6,MATHEMATICS,767,9
6,MATHEMATICS,770,9
6,MATHEMATICS,773,8
6,MATHEMATICS,775,8
6,MATHEMATICS,778,8
6,MATHEMATICS,780,8
6,MATHEMATICS,783,8
6,MATHEMATICS,785,8
6,MATHEMATICS,787,8
6,MATHEMATICS,789,8
6,MATHEMATICS,792,8
6,MATHEMATICS,794,8
6,MATHEMATICS,796,8
6,MATHEMATICS,798,8
6,MATHEMATICS,800,8
6,MATHEMATICS,802,8
6,MATHEMATICS,804,8
6,MATHEMATICS,807,8
6,MATHEMATICS,809,8
6,MATHEMATICS,811,8
6,MATHEMATICS,813,8
6,MATHEMATICS,815,8
6,MATHEMATICS,817,8
6,MATHEMATICS,819,8
6,MATHEMATICS,822,8
6,MATHEMATICS,824,8
6,MATHEMATICS,826,8
6,MATHEMATICS,829,8
6,MATHEMATICS,831,8
6,MATHEMATICS,834,8
6,MATHEMATICS,836,9
6,MATHEMATICS,839,9
6,MATHEMATICS,842,9
6,MATHEMATICS,845,9
6,MATHEMATICS,850,9
6,MATHEMATICS,851,10
6,MATHEMATICS,855,10
6,MATHEMATICS,859,11
6,MATHEMATICS,864,11
6,MATHEMATICS,868,12
6,MATHEMATICS,874,13
6,MATHEMATICS,881,14
6,MATHEMATICS,890,16
6,MATHEMATICS,901,20
6,MATHEMATICS,921,27
6,MATHEMATICS,950,46
7,MATHEMATICS,650,46
7,MATHEMATICS,677,29
7,MATHEMATICS,698,21
7,MATHEMATICS,710,17
7,MATHEMATICS,719,15
7,MATHEMATICS,727,14
7,MATHEMATICS,733,13
7,MATHEMATICS,738,12
7,MATHEMATICS,743,11
7,MATHEMATICS,747,11
7,MATHEMATICS,751,10
7,MATHEMATICS,755,10
7,MATHEMATICS,758,10
7,MATHEMATICS,761,9
7,MATHEMATICS,764,9
7,MATHEMATICS,767,9
7,MATHEMATICS,770,9
7,MATHEMATICS,773,9
7,MATHEMATICS,775,9
7,MATHEMATICS,778,8
7,MATHEMATICS,780,8
7,MATHEMATICS,783,8
7,MATHEMATICS,785,8
7,MATHEMATICS,787,8
7,MATHEMATICS,789,8
7,MATHEMATICS,792,8
7,MATHEMATICS,794,8
7,MATHEMATICS,796,8
7,MATHEMATICS,798,8
7,MATHEMATICS,800,8
7,MATHEMATICS,802,8
7,MATHEMATICS,805,8
7,MATHEMATICS,807,8
7,MATHEMATICS,809,8
7,MATHEMATICS,811,8
7,MATHEMATICS,813,8
7,MATHEMATICS,815,8
7,MATHEMATICS,818,8
7,MATHEMATICS,820,8
7,MATHEMATICS,822,8
7,MATHEMATICS,825,8
7,MATHEMATICS,827,8
7,MATHEMATICS,829,8
7,MATHEMATICS,832,9
7,MATHEMATICS,834,9
7,MATHEMATICS,837,9
7,MATHEMATICS,840,9
7,MATHEMATICS,843,9
7,MATHEMATICS,846,9
7,MATHEMATICS,850,10
7,MATHEMATICS,853,10
7,MATHEMATICS,857,11
7,MATHEMATICS,861,11
7,MATHEMATICS,865,12
7,MATHEMATICS,870,12
7,MATHEMATICS,876,13
7,MATHEMATICS,883,15
7,MATHEMATICS,892,17
7,MATHEMATICS,904,21
7,MATHEMATICS,925,29
7,MATHEMATICS,950,44
8,MATHEMATICS,650,33
8,MATHEMATICS,651,32
8,MATHEMATICS,674,23
8,MATHEMATICS,688,19
8,MATHEMATICS,698,17
8,MATHEMATICS,707,15
8,MATHEMATICS,714,14
8,MATHEMATICS,720,13
8,MATHEMATICS,725,13
8,MATHEMATICS,730,12
8,MATHEMATICS,734,12
8,MATHEMATICS,739,11
8,MATHEMATICS,743,11
8,MATHEMATICS,746,11
8,MATHEMATICS,750,11
8,MATHEMATICS,753,10
