GRADE,CONTENT_AREA,SCALE_SCORE,SCALE_SCORE_CSEM
7,SCIENCE,778,8
7,SCIENCE,781,8
7,SCIENCE,783,8
7,SCIENCE,785,8
7,SCIENCE,788,8
7,SCIENCE,790,8
7,SCIENCE,792,8
7,SCIENCE,794,8
7,SCIENCE,796,8
7,SCIENCE,800,8
7,SCIENCE,801,8
7,SCIENCE,803,8
7,SCIENCE,805,8
7,SCIENCE,807,8
7,SCIENCE,809,8
7,SCIENCE,811,8
7,SCIENCE,814,8
7,SCIENCE,816,8
7,SCIENCE,818,8
7,SCIENCE,820,8
7,SCIENCE,823,8
7,SCIENCE,825,8
7,SCIENCE,827,8
7,SCIENCE,830,9
7,SCIENCE,832,9
7,SCIENCE,835,9
7,SCIENCE,838,9
7,SCIENCE,841,9
7,SCIENCE,844,9
7,SCIENCE,847,10
7,SCIENCE,850,10
7,SCIENCE,854,10
7,SCIENCE,858,11
7,SCIENCE,862,11
7,SCIENCE,866,12
7,SCIENCE,872,13
7,SCIENCE,878,14
7,SCIENCE,885,15
7,SCIENCE,894,18
7,SCIENCE,907,21
7,SCIENCE,928,30
7,SCIENCE,960,50
8,SCIENCE,650,38
8,SCIENCE,662,31
8,SCIENCE,684,22
8,SCIENCE,697,19
8,SCIENCE,707,16
8,SCIENCE,715,15
8,SCIENCE,721,14
8,SCIENCE,727,13
8,SCIENCE,732,12
8,SCIENCE,736,12
8,SCIENCE,741,11
8,SCIENCE,744,11
8,SCIENCE,748,10
8,SCIENCE,751,10
8,SCIENCE,755,10
8,SCIENCE,758,10
8,SCIENCE,761,9
8,SCIENCE,763,9
8,SCIENCE,766,9
8,SCIENCE,769,9
8,SCIENCE,771,9
8,SCIENCE,774,9
8,SCIENCE,776,9
8,SCIENCE,779,9
8,SCIENCE,781,9
8,SCIENCE,783,9
8,SCIENCE,786,8
8,SCIENCE,788,8
8,SCIENCE,790,8
8,SCIENCE,793,8
8,SCIENCE,795,8
8,SCIENCE,797,8
8,SCIENCE,800,8
8,SCIENCE,802,8
8,SCIENCE,804,8
8,SCIENCE,806,8
8,SCIENCE,809,9
8,SCIENCE,811,9
8,SCIENCE,814,9
8,SCIENCE,816,9
8,SCIENCE,819,9
8,SCIENCE,821,9
8,SCIENCE,824,9
8,SCIENCE,826,9
8,SCIENCE,829,9
8,SCIENCE,832,10
8,SCIENCE,835,10
8,SCIENCE,838,10
8,SCIENCE,842,10
8,SCIENCE,845,11
8,SCIENCE,850,11
8,SCIENCE,853,11
8,SCIENCE,857,12
8,SCIENCE,862,13
8,SCIENCE,868,14
8,SCIENCE,874,15
8,SCIENCE,882,16
8,SCIENCE,891,19
8,SCIENCE,905,22
8,SCIENCE,927,31
8,SCIENCE,960,53
