GRADE,CONTENT_AREA,SCALE_SCORE,SCALE_SCORE_CSEM
EOCT,PHYSICAL_SCIENCE,362,18
EOCT,PHYSICAL_SCIENCE,365,17
EOCT,PHYSICAL_SCIENCE,366,17
EOCT,PHYSICAL_SCIENCE,370,17
EOCT,PHYSICAL_SCIENCE,371,17
EOCT,PHYSICAL_SCIENCE,374,17
EOCT,PHYSICAL_SCIENCE,376,17
EOCT,PHYSICAL_SCIENCE,379,17
EOCT,PHYSICAL_SCIENCE,380,17
EOCT,PHYSICAL_SCIENCE,383,16
EOCT,PHYSICAL_SCIENCE,385,16
EOCT,PHYSICAL_SCIENCE,388,16
EOCT,PHYSICAL_SCIENCE,389,16
EOCT,PHYSICAL_SCIENCE,392,16
EOCT,PHYSICAL_SCIENCE,394,16
EOCT,PHYSICAL_SCIENCE,396,16
EOCT,PHYSICAL_SCIENCE,400,16
EOCT,PHYSICAL_SCIENCE,402,16
EOCT,PHYSICAL_SCIENCE,404,16
EOCT,PHYSICAL_SCIENCE,406,16
EOCT,PHYSICAL_SCIENCE,408,16
EOCT,PHYSICAL_SCIENCE,411,16
EOCT,PHYSICAL_SCIENCE,413,16
EOCT,PHYSICAL_SCIENCE,415,16
EOCT,PHYSICAL_SCIENCE,417,16
EOCT,PHYSICAL_SCIENCE,419,16
EOCT,PHYSICAL_SCIENCE,421,16
EOCT,PHYSICAL_SCIENCE,423,16
EOCT,PHYSICAL_SCIENCE,425,16
EOCT,PHYSICAL_SCIENCE,427,16
EOCT,PHYSICAL_SCIENCE,429,16
EOCT,PHYSICAL_SCIENCE,432,16
EOCT,PHYSICAL_SCIENCE,433,16
EOCT,PHYSICAL_SCIENCE,436,16
EOCT,PHYSICAL_SCIENCE,437,16
EOCT,PHYSICAL_SCIENCE,440,16
EOCT,PHYSICAL_SCIENCE,442,16
EOCT,PHYSICAL_SCIENCE,444,16
EOCT,PHYSICAL_SCIENCE,446,16
EOCT,PHYSICAL_SCIENCE,450,17
EOCT,PHYSICAL_SCIENCE,453,17
EOCT,PHYSICAL_SCIENCE,455,17
EOCT,PHYSICAL_SCIENCE,458,17
EOCT,PHYSICAL_SCIENCE,459,17
EOCT,PHYSICAL_SCIENCE,462,17
EOCT,PHYSICAL_SCIENCE,464,17
EOCT,PHYSICAL_SCIENCE,467,17
EOCT,PHYSICAL_SCIENCE,468,17
EOCT,PHYSICAL_SCIENCE,471,17
EOCT,PHYSICAL_SCIENCE,473,17
EOCT,PHYSICAL_SCIENCE,476,17
EOCT,PHYSICAL_SCIENCE,478,18
EOCT,PHYSICAL_SCIENCE,481,18
EOCT,PHYSICAL_SCIENCE,483,18
EOCT,PHYSICAL_SCIENCE,486,18
EOCT,PHYSICAL_SCIENCE,488,18
EOCT,PHYSICAL_SCIENCE,491,18
EOCT,PHYSICAL_SCIENCE,493,18
EOCT,PHYSICAL_SCIENCE,496,18
EOCT,PHYSICAL_SCIENCE,499,19
EOCT,PHYSICAL_SCIENCE,502,19
EOCT,PHYSICAL_SCIENCE,504,19
EOCT,PHYSICAL_SCIENCE,508,19
EOCT,PHYSICAL_SCIENCE,510,20
EOCT,PHYSICAL_SCIENCE,514,20
EOCT,PHYSICAL_SCIENCE,516,20
EOCT,PHYSICAL_SCIENCE,520,20
EOCT,PHYSICAL_SCIENCE,523,21
EOCT,PHYSICAL_SCIENCE,526,21
EOCT,PHYSICAL_SCIENCE,530,21
EOCT,PHYSICAL_SCIENCE,534,21
EOCT,PHYSICAL_SCIENCE,538,22
EOCT,PHYSICAL_SCIENCE,541,22
EOCT,PHYSICAL_SCIENCE,546,23
EOCT,PHYSICAL_SCIENCE,549,23
EOCT,PHYSICAL_SCIENCE,555,24
EOCT,PHYSICAL_SCIENCE,558,24
EOCT,PHYSICAL_SCIENCE,565,26
EOCT,PHYSICAL_SCIENCE,568,26
EOCT,PHYSICAL_SCIENCE,576,28
EOCT,PHYSICAL_SCIENCE,579,28
EOCT,PHYSICAL_SCIENCE,589,30
EOCT,PHYSICAL_SCIENCE,592,30
EOCT,PHYSICAL_SCIENCE,605,33
EOCT,PHYSICAL_SCIENCE,608,33
EOCT,PHYSICAL_SCIENCE,624,38
EOCT,PHYSICAL_SCIENCE,627,38
EOCT,PHYSICAL_SCIENCE,651,46
EOCT,PHYSICAL_SCIENCE,654,46
EOCT,PHYSICAL_SCIENCE,697,64
EOCT,PHYSICAL_SCIENCE,700,64
EOCT,PHYSICAL_SCIENCE,750,116
EOCT,BIOLOGY,650,73
EOCT,BIOLOGY,579,41
EOCT,BIOLOGY,578,41
EOCT,BIOLOGY,550,29
EOCT,BIOLOGY,549,29
EOCT,BIOLOGY,533,24
EOCT,BIOLOGY,532,24
EOCT,BIOLOGY,521,21
EOCT,BIOLOGY,520,21
EOCT,BIOLOGY,511,19
EOCT,BIOLOGY,510,19
EOCT,BIOLOGY,503,17
EOCT,BIOLOGY,502,17
EOCT,BIOLOGY,496,16
EOCT,BIOLOGY,495,16
EOCT,BIOLOGY,490,15
EOCT,BIOLOGY,489,15
EOCT,BIOLOGY,484,15
EOCT,BIOLOGY,483,15
EOCT,BIOLOGY,479,14
EOCT,BIOLOGY,478,14
EOCT,BIOLOGY,474,13
EOCT,BIOLOGY,473,13
EOCT,BIOLOGY,470,13
EOCT,BIOLOGY,469,13
EOCT,BIOLOGY,466,13
EOCT,BIOLOGY,465,13
EOCT,BIOLOGY,462,12
EOCT,BIOLOGY,461,12
EOCT,BIOLOGY,458,12
EOCT,BIOLOGY,457,12
EOCT,BIOLOGY,455,12
EOCT,BIOLOGY,454,12
EOCT,BIOLOGY,452,12
EOCT,BIOLOGY,450,11
EOCT,BIOLOGY,447,11
EOCT,BIOLOGY,445,11
EOCT,BIOLOGY,444,11
EOCT,BIOLOGY,442,11
EOCT,BIOLOGY,441,11
EOCT,BIOLOGY,439,11
EOCT,BIOLOGY,438,11
EOCT,BIOLOGY,436,11
EOCT,BIOLOGY,435,11
EOCT,BIOLOGY,433,11
EOCT,BIOLOGY,432,11
EOCT,BIOLOGY,431,10
EOCT,BIOLOGY,429,11
EOCT,BIOLOGY,428,10
EOCT,BIOLOGY,427,10
EOCT,BIOLOGY,425,10
EOCT,BIOLOGY,424,10
EOCT,BIOLOGY,423,10
EOCT,BIOLOGY,421,10
EOCT,BIOLOGY,420,10
EOCT,BIOLOGY,419,10
EOCT,BIOLOGY,417,10
EOCT,BIOLOGY,416,10
EOCT,BIOLOGY,415,10
EOCT,BIOLOGY,414,10
EOCT,BIOLOGY,412,10
EOCT,BIOLOGY,411,10
EOCT,BIOLOGY,410,10
EOCT,BIOLOGY,408,10
EOCT,BIOLOGY,407,10
EOCT,BIOLOGY,406,10
EOCT,BIOLOGY,405,10
EOCT,BIOLOGY,403,10
EOCT,BIOLOGY,402,10
EOCT,BIOLOGY,401,10
EOCT,BIOLOGY,400,10
EOCT,BIOLOGY,397,10
EOCT,BIOLOGY,396,10
EOCT,BIOLOGY,394,10
EOCT,BIOLOGY,393,10
EOCT,BIOLOGY,392,10
EOCT,BIOLOGY,391,10
EOCT,BIOLOGY,389,10
EOCT,BIOLOGY,388,10
EOCT,BIOLOGY,386,10
EOCT,BIOLOGY,385,10
EOCT,BIOLOGY,384,10
EOCT,BIOLOGY,383,10
EOCT,BIOLOGY,381,10
EOCT,BIOLOGY,380,10
EOCT,BIOLOGY,378,11
EOCT,BIOLOGY,377,11
EOCT,BIOLOGY,376,11
EOCT,BIOLOGY,374,11
EOCT,BIOLOGY,373,11
EOCT,BIOLOGY,371,11
EOCT,BIOLOGY,370,11
EOCT,BIOLOGY,369,11
EOCT,BIOLOGY,367,11
EOCT,BIOLOGY,366,11
EOCT,BIOLOGY,364,11
EOCT,BIOLOGY,362,11
EOCT,BIOLOGY,360,11
EOCT,BIOLOGY,359,11
EOCT,BIOLOGY,357,12
EOCT,BIOLOGY,356,12
EOCT,BIOLOGY,354,12
EOCT,BIOLOGY,353,12
EOCT,BIOLOGY,350,12
EOCT,BIOLOGY,349,12
EOCT,BIOLOGY,346,12
EOCT,BIOLOGY,345,12
EOCT,BIOLOGY,342,13
EOCT,BIOLOGY,341,13
EOCT,BIOLOGY,338,13
EOCT,BIOLOGY,337,13
EOCT,BIOLOGY,334,14
EOCT,BIOLOGY,333,14
EOCT,BIOLOGY,329,14
EOCT,BIOLOGY,328,14
EOCT,BIOLOGY,324,15
EOCT,BIOLOGY,323,15
EOCT,BIOLOGY,318,15
EOCT,BIOLOGY,317,15
EOCT,BIOLOGY,312,16
EOCT,BIOLOGY,311,16
EOCT,BIOLOGY,305,17
EOCT,BIOLOGY,304,17
EOCT,BIOLOGY,297,19
EOCT,BIOLOGY,296,19
EOCT,BIOLOGY,287,21
EOCT,BIOLOGY,286,21
EOCT,BIOLOGY,274,24
EOCT,BIOLOGY,273,24
EOCT,BIOLOGY,257,29
EOCT,BIOLOGY,256,29
EOCT,BIOLOGY,228,41
EOCT,BIOLOGY,228,41
EOCT,BIOLOGY,200,74
EOCT,US_HISTORY,200,67
EOCT,US_HISTORY,212,34
EOCT,US_HISTORY,218,34
EOCT,US_HISTORY,232,28
EOCT,US_HISTORY,238,28
EOCT,US_HISTORY,247,25
EOCT,US_HISTORY,252,25
EOCT,US_HISTORY,258,22
EOCT,US_HISTORY,264,22
EOCT,US_HISTORY,268,21
EOCT,US_HISTORY,273,20
EOCT,US_HISTORY,277,19
EOCT,US_HISTORY,282,19
EOCT,US_HISTORY,284,18
EOCT,US_HISTORY,289,18
EOCT,US_HISTORY,291,17
EOCT,US_HISTORY,296,17
EOCT,US_HISTORY,297,17
EOCT,US_HISTORY,302,16
EOCT,US_HISTORY,303,16
EOCT,US_HISTORY,307,16
EOCT,US_HISTORY,308,16
EOCT,US_HISTORY,312,15
EOCT,US_HISTORY,313,15
EOCT,US_HISTORY,317,15
EOCT,US_HISTORY,318,15
EOCT,US_HISTORY,322,15
EOCT,US_HISTORY,326,14
EOCT,US_HISTORY,327,14
EOCT,US_HISTORY,331,14
EOCT,US_HISTORY,335,14
EOCT,US_HISTORY,339,13
EOCT,US_HISTORY,342,13
EOCT,US_HISTORY,343,13
EOCT,US_HISTORY,346,13
EOCT,US_HISTORY,349,13
EOCT,US_HISTORY,350,13
EOCT,US_HISTORY,353,13
EOCT,US_HISTORY,356,13
EOCT,US_HISTORY,357,13
EOCT,US_HISTORY,360,12
EOCT,US_HISTORY,363,12
EOCT,US_HISTORY,366,12
EOCT,US_HISTORY,367,12
EOCT,US_HISTORY,369,12
EOCT,US_HISTORY,370,12
EOCT,US_HISTORY,372,12
EOCT,US_HISTORY,373,12
EOCT,US_HISTORY,376,12
EOCT,US_HISTORY,379,12
EOCT,US_HISTORY,382,12
EOCT,US_HISTORY,385,12
EOCT,US_HISTORY,386,12
EOCT,US_HISTORY,388,12
EOCT,US_HISTORY,389,12
EOCT,US_HISTORY,391,12
EOCT,US_HISTORY,392,12
EOCT,US_HISTORY,394,12
EOCT,US_HISTORY,395,12
EOCT,US_HISTORY,397,12
EOCT,US_HISTORY,400,12
EOCT,US_HISTORY,401,12
EOCT,US_HISTORY,403,12
EOCT,US_HISTORY,404,12
EOCT,US_HISTORY,406,12
EOCT,US_HISTORY,407,12
EOCT,US_HISTORY,409,12
EOCT,US_HISTORY,411,12
EOCT,US_HISTORY,412,12
EOCT,US_HISTORY,414,12
EOCT,US_HISTORY,416,12
EOCT,US_HISTORY,417,12
EOCT,US_HISTORY,419,12
EOCT,US_HISTORY,421,12
EOCT,US_HISTORY,422,12
EOCT,US_HISTORY,424,13
EOCT,US_HISTORY,425,13
EOCT,US_HISTORY,427,13
EOCT,US_HISTORY,429,13
EOCT,US_HISTORY,431,13
EOCT,US_HISTORY,432,13
EOCT,US_HISTORY,435,13
EOCT,US_HISTORY,436,13
EOCT,US_HISTORY,438,13
EOCT,US_HISTORY,440,13
EOCT,US_HISTORY,442,13
EOCT,US_HISTORY,443,13
EOCT,US_HISTORY,446,14
EOCT,US_HISTORY,450,14
EOCT,US_HISTORY,451,14
EOCT,US_HISTORY,454,14
EOCT,US_HISTORY,456,14
EOCT,US_HISTORY,459,15
EOCT,US_HISTORY,460,15
EOCT,US_HISTORY,464,15
EOCT,US_HISTORY,465,15
EOCT,US_HISTORY,468,15
EOCT,US_HISTORY,470,15
EOCT,US_HISTORY,474,16
EOCT,US_HISTORY,475,16
EOCT,US_HISTORY,479,17
EOCT,US_HISTORY,480,17
EOCT,US_HISTORY,485,17
EOCT,US_HISTORY,486,17
EOCT,US_HISTORY,492,18
EOCT,US_HISTORY,493,18
EOCT,US_HISTORY,500,19
EOCT,US_HISTORY,508,20
EOCT,US_HISTORY,509,20
EOCT,US_HISTORY,518,22
EOCT,US_HISTORY,529,25
EOCT,US_HISTORY,530,25
EOCT,US_HISTORY,544,28
EOCT,US_HISTORY,545,28
EOCT,US_HISTORY,564,34
EOCT,US_HISTORY,565,34
EOCT,US_HISTORY,598,48
EOCT,US_HISTORY,650,86
EOCT,ECONOMICS,200,67
EOCT,ECONOMICS,227,33
EOCT,ECONOMICS,230,33
EOCT,ECONOMICS,247,27
EOCT,ECONOMICS,249,27
EOCT,ECONOMICS,261,24
EOCT,ECONOMICS,263,24
EOCT,ECONOMICS,272,22
EOCT,ECONOMICS,274,21
EOCT,ECONOMICS,281,20
EOCT,ECONOMICS,284,20
EOCT,ECONOMICS,290,19
EOCT,ECONOMICS,292,19
EOCT,ECONOMICS,297,18
EOCT,ECONOMICS,299,18
EOCT,ECONOMICS,303,17
EOCT,ECONOMICS,305,17
EOCT,ECONOMICS,309,16
EOCT,ECONOMICS,311,16
EOCT,ECONOMICS,315,16
EOCT,ECONOMICS,317,15
EOCT,ECONOMICS,320,15
EOCT,ECONOMICS,322,15
EOCT,ECONOMICS,325,15
EOCT,ECONOMICS,326,15
EOCT,ECONOMICS,329,14
EOCT,ECONOMICS,331,14
EOCT,ECONOMICS,334,14
EOCT,ECONOMICS,335,14
EOCT,ECONOMICS,338,14
EOCT,ECONOMICS,339,14
EOCT,ECONOMICS,342,13
EOCT,ECONOMICS,343,13
EOCT,ECONOMICS,346,13
EOCT,ECONOMICS,347,13
EOCT,ECONOMICS,349,13
EOCT,ECONOMICS,351,13
EOCT,ECONOMICS,353,13
EOCT,ECONOMICS,354,13
EOCT,ECONOMICS,357,13
EOCT,ECONOMICS,358,12
EOCT,ECONOMICS,360,12
EOCT,ECONOMICS,361,12
EOCT,ECONOMICS,363,12
EOCT,ECONOMICS,364,12
EOCT,ECONOMICS,367,12
EOCT,ECONOMICS,368,12
EOCT,ECONOMICS,370,12
EOCT,ECONOMICS,371,12
EOCT,ECONOMICS,373,12
EOCT,ECONOMICS,374,12
EOCT,ECONOMICS,376,12
EOCT,ECONOMICS,377,12
EOCT,ECONOMICS,379,12
EOCT,ECONOMICS,380,12
EOCT,ECONOMICS,382,12
EOCT,ECONOMICS,383,12
EOCT,ECONOMICS,385,12
EOCT,ECONOMICS,386,12
EOCT,ECONOMICS,389,12
EOCT,ECONOMICS,392,12
EOCT,ECONOMICS,395,12
EOCT,ECONOMICS,400,12
EOCT,ECONOMICS,401,12
EOCT,ECONOMICS,404,12
EOCT,ECONOMICS,407,12
EOCT,ECONOMICS,410,12
EOCT,ECONOMICS,413,12
EOCT,ECONOMICS,416,12
EOCT,ECONOMICS,419,12
EOCT,ECONOMICS,422,12
EOCT,ECONOMICS,425,12
EOCT,ECONOMICS,428,12
EOCT,ECONOMICS,431,12
EOCT,ECONOMICS,435,12
EOCT,ECONOMICS,438,12
EOCT,ECONOMICS,441,13
EOCT,ECONOMICS,442,13
EOCT,ECONOMICS,445,13
EOCT,ECONOMICS,450,13
EOCT,ECONOMICS,452,13
EOCT,ECONOMICS,453,13
EOCT,ECONOMICS,456,13
EOCT,ECONOMICS,457,14
EOCT,ECONOMICS,460,14
EOCT,ECONOMICS,461,14
EOCT,ECONOMICS,465,14
EOCT,ECONOMICS,469,14
EOCT,ECONOMICS,470,15
EOCT,ECONOMICS,474,15
EOCT,ECONOMICS,479,15
EOCT,ECONOMICS,484,16
EOCT,ECONOMICS,485,16
EOCT,ECONOMICS,490,17
EOCT,ECONOMICS,491,17
EOCT,ECONOMICS,497,18
EOCT,ECONOMICS,504,19
EOCT,ECONOMICS,512,20
EOCT,ECONOMICS,521,21
EOCT,ECONOMICS,522,21
EOCT,ECONOMICS,532,24
EOCT,ECONOMICS,533,24
EOCT,ECONOMICS,546,27
EOCT,ECONOMICS,547,27
EOCT,ECONOMICS,566,33
EOCT,ECONOMICS,567,33
EOCT,ECONOMICS,598,46
EOCT,ECONOMICS,599,46
EOCT,ECONOMICS,650,84
EOCT,AMERICAN_LITERATURE,200,55
EOCT,AMERICAN_LITERATURE,258,31
EOCT,AMERICAN_LITERATURE,264,31
EOCT,AMERICAN_LITERATURE,280,22
EOCT,AMERICAN_LITERATURE,286,22
