CONTENT_AREA,GRADE,a,b
ELA,3,36.7227,735.4297
ELA,4,31.5462,741.0214
ELA,5,29.458,739.505
ELA,6,28.316,738.6673
ELA,7,33.9161,742.3542
ELA,8,34.1183,743.433
ELA,9,34.2174,739.8124
ELA,10,43.128,738.4223
ELA,11,34.9278,738.4801
MATHEMATICS,3,32.1135,745.4119
MATHEMATICS,4,29.9167,741.4049
MATHEMATICS,5,29.0301,742.2997
MATHEMATICS,6,28.1465,738.9252
MATHEMATICS,7,25.1033,736.3102
MATHEMATICS,8,32.9505,729.164
ALGEBRA_I,EOCT,31.5325,737.149
ALGEBRA_II,EOCT,37.7676,721.7509
GEOMETRY,EOCT,25.9775,733.8039
INTEGRATED_MATH_1,EOCT,32.0043,734.9446
INTEGRATED_MATH_2,EOCT,29.2865,726.8695
INTEGRATED_MATH_3,EOCT,37.3549,726.4336
